id,category,route,expected_answer,final_output,correct,latency_wall_median_s
AR96,AR,SYM,169,169,1,0.0023
AR97,AR,SYM,136,136,1,0.0022
AR98,AR,SYM,866,866,1,0.0021
AR99,AR,SYM,108,108,1,0.0022
AR100,AR,SYM,44,,0,0.0016
ALG11,ALG,SYM,9,9,1,0.0083
ALG12,ALG,SYM,-18,-18,1,0.0125
ALG13,ALG,SYM,10,10,1,0.0107
ALG14,ALG,SYM,30,30,1,0.0112
ALG15,ALG,SYM,9,9,1,0.0077
ALG16,ALG,SYM,-4,-4,1,0.0077
ALG17,ALG,SYM,-8,-8,1,0.0085
ALG18,ALG,SYM,13,13,1,0.0112
ALG19,ALG,SYM,180,180,1,0.0111
ALG20,ALG,SYM,10,10,1,0.0066
ALG21,ALG,SYM,-16,-16,1,0.0117
ALG22,ALG,SYM,-18,-18,1,0.0117
ALG23,ALG,SYM,2,2,1,0.0120
ALG24,ALG,SYM,32,32,1,0.0067
ALG25,ALG,SYM,-12,-12,1,0.0074
ALG26,ALG,SYM,20,20,1,0.0118
ALG27,ALG,SYM,-19,-19,1,0.0072
ALG28,ALG,SYM,1,1,1,0.0094
ALG29,ALG,SYM,33,33,1,0.0072
ALG30,ALG,SYM,15,15,1,0.0066
ALG31,ALG,SYM,9,9,1,0.0115
ALG32,ALG,SYM,9,9,1,0.0064
ALG33,ALG,SYM,-14,-14,1,0.0122
ALG34,ALG,SYM,-35,-35,1,0.0107
ALG35,ALG,SYM,-3,-3,1,0.0066
ALG36,ALG,SYM,13,13,1,0.0080
ALG37,ALG,SYM,14,14,1,0.0070
ALG38,ALG,SYM,-11,-11,1,0.0117
ALG39,ALG,SYM,-6,-6,1,0.0096
ALG40,ALG,SYM,9,9,1,0.0048
ALG41,ALG,SYM,-9,-9,1,0.0078
ALG42,ALG,SYM,-19,-19,1,0.0079
ALG43,ALG,SYM,-8,-8,1,0.0083
ALG44,ALG,SYM,-91,-91,1,0.0108
ALG45,ALG,SYM,-16,-16,1,0.0065
ALG46,ALG,SYM,4,4,1,0.0077
ALG47,ALG,SYM,-6,-6,1,0.0114
ALG48,ALG,SYM,4,4,1,0.0118
ALG49,ALG,SYM,-128,-128,1,0.0107
ALG50,ALG,SYM,-20,-20,1,0.0071
ALG51,ALG,SYM,15,15,1,0.0066
ALG52,ALG,SYM,-7,-7,1,0.0072
ALG53,ALG,SYM,-26,-26,1,0.0132
ALG54,ALG,SYM,-44,-44,1,0.0108
ALG55,ALG,SYM,8,8,1,0.0064
ALG56,ALG,SYM,-15,-15,1,0.0077
ALG57,ALG,SYM,13,13,1,0.0081
ALG58,ALG,SYM,9,9,1,0.0085
ALG59,ALG,SYM,132,132,1,0.0069
ALG60,ALG,SYM,-13,-13,1,0.0064
ALG61,ALG,SYM,18,18,1,0.0076
ALG62,ALG,SYM,11,11,1,0.0074
ALG63,ALG,SYM,9,9,1,0.0066
ALG64,ALG,SYM,60,60,1,0.0072
ALG65,ALG,SYM,10,10,1,0.0049
ALG66,ALG,SYM,-6,-6,1,0.0077
ALG67,ALG,SYM,9,9,1,0.0075
ALG68,ALG,SYM,8,8,1,0.0114
ALG69,ALG,SYM,-156,-156,1,0.0071
ALG70,ALG,SYM,-16,-16,1,0.0049
ALG71,ALG,SYM,20,20,1,0.0077
ALG72,ALG,SYM,-1,-1,1,0.0077
ALG73,ALG,SYM,-23,-23,1,0.0088
ALG74,ALG,SYM,-108,-108,1,0.0069
ALG75,ALG,SYM,-6,-6,1,0.0064
ALG76,ALG,SYM,-19,-19,1,0.0078
ALG77,ALG,SYM,-11,-11,1,0.0083
ALG78,ALG,SYM,-18,-18,1,0.0116
ALG79,ALG,SYM,-90,-90,1,0.0106
ALG80,ALG,SYM,10,10,1,0.0049
ALG81,ALG,SYM,-18,-18,1,0.0065
ALG82,ALG,SYM,-9,-9,1,0.0079
ALG83,ALG,SYM,-9,-9,1,0.0086
ALG84,ALG,SYM,132,132,1,0.0046
ALG85,ALG,SYM,19,19,1,0.0070
ALG86,ALG,SYM,2,2,1,0.0070
ALG87,ALG,SYM,11,11,1,0.0076
ALG88,ALG,SYM,-19,-19,1,0.0082
ALG89,ALG,SYM,-126,-126,1,0.0071
ALG90,ALG,SYM,4,4,1,0.0056
ALG91,ALG,SYM,-5,-5,1,0.0075
ALG92,ALG,SYM,17,17,1,0.0084
ALG93,ALG,SYM,4,4,1,0.0104
ALG94,ALG,SYM,135,135,1,0.0070
ALG95,ALG,SYM,-18,-18,1,0.0065
ALG96,ALG,SYM,18,18,1,0.0077
ALG97,ALG,SYM,-4,-4,1,0.0071
ALG98,ALG,SYM,-16,-16,1,0.0085
ALG99,ALG,SYM,0,0,1,0.0049
ALG100,ALG,SYM,-10,-10,1,0.0064
LOG11,LOG,LLM,Yes,Yes,1,3.8734
LOG12,LOG,LLM,No,Yes,0,13.2518
LOG13,LOG,LLM,Yes,Yes,1,4.1091
LOG14,LOG,LLM,No,Yes,0,4.1649
LOG15,LOG,LLM,Yes,Yes,1,4.1261
LOG16,LOG,LLM,No,No,1,4.1529
LOG17,LOG,LLM,Yes,No,0,4.2292
LOG18,LOG,LLM,Yes,Yes,1,1.5310
LOG19,LOG,LLM,Yes,Yes,1,1.6015
LOG20,LOG,LLM,Yes,No,0,4.3043
LOG21,LOG,LLM,Yes,Yes,1,4.2565
LOG22,LOG,LLM,No,Yes,0,4.2766
LOG23,LOG,LLM,Yes,Yes,1,4.2612
LOG24,LOG,LLM,No,Yes,0,4.2637
LOG25,LOG,LLM,Yes,Yes,1,4.2385
LOG26,LOG,LLM,No,No,1,4.3459
LOG27,LOG,LLM,Yes,No,0,4.3503
LOG28,LOG,LLM,Yes,Yes,1,1.6069
LOG29,LOG,LLM,Yes,Yes,1,1.6133
LOG30,LOG,LLM,Yes,No,0,4.3440
LOG31,LOG,LLM,Yes,Yes,1,4.3805
LOG32,LOG,LLM,No,Yes,0,4.2844
LOG33,LOG,LLM,Yes,Yes,1,4.2814
LOG34,LOG,LLM,No,Yes,0,4.4235
LOG35,LOG,LLM,Yes,Yes,1,4.4241
LOG36,LOG,LLM,No,No,1,4.3087
LOG37,LOG,LLM,Yes,No,0,4.3447
LOG38,LOG,LLM,Yes,Yes,1,1.6512
LOG39,LOG,LLM,Yes,Yes,1,1.5985
LOG40,LOG,LLM,Yes,No,0,4.3806
LOG41,LOG,LLM,Yes,Yes,1,4.4233
LOG42,LOG,LLM,No,Yes,0,4.3306
LOG43,LOG,LLM,Yes,Yes,1,4.4295
LOG44,LOG,LLM,No,Yes,0,4.4217
LOG45,LOG,LLM,Yes,Yes,1,4.3222
LOG46,LOG,LLM,No,No,1,4.4232
LOG47,LOG,LLM,Yes,No,0,4.3790
LOG48,LOG,LLM,Yes,Yes,1,1.6445
LOG49,LOG,LLM,Yes,Yes,1,1.7006
LOG50,LOG,LLM,Yes,No,0,4.4103
LOG51,LOG,LLM,Yes,Yes,1,4.3401
LOG52,LOG,LLM,No,Yes,0,4.4218
LOG53,LOG,LLM,Yes,Yes,1,4.5893
LOG54,LOG,LLM,No,Yes,0,4.4182
LOG55,LOG,LLM,Yes,Yes,1,4.4706
LOG56,LOG,LLM,No,No,1,4.3995
LOG57,LOG,LLM,Yes,No,0,4.3811
LOG58,LOG,LLM,Yes,Yes,1,1.6473
LOG59,LOG,LLM,Yes,Yes,1,1.6792
LOG60,LOG,LLM,Yes,No,0,4.5028
LOG61,LOG,LLM,Yes,Yes,1,4.4310
LOG62,LOG,LLM,No,Yes,0,4.4193
LOG63,LOG,LLM,Yes,Yes,1,4.5006
LOG64,LOG,LLM,No,Yes,0,4.4641
LOG65,LOG,LLM,Yes,Yes,1,4.4658
LOG66,LOG,LLM,No,No,1,4.4724
LOG67,LOG,LLM,Yes,No,0,4.5255
LOG68,LOG,LLM,Yes,Yes,1,1.6759
LOG69,LOG,LLM,Yes,Yes,1,1.6445
LOG70,LOG,LLM,Yes,No,0,4.4351
LOG71,LOG,LLM,Yes,Yes,1,4.5186
LOG72,LOG,LLM,No,Yes,0,4.5436
LOG73,LOG,LLM,Yes,Yes,1,4.5210
LOG74,LOG,LLM,No,Yes,0,4.3627
LOG75,LOG,LLM,Yes,Yes,1,4.6345
LOG76,LOG,LLM,No,No,1,4.5209
LOG77,LOG,LLM,Yes,No,0,4.5576
LOG78,LOG,LLM,Yes,Yes,1,1.7152
LOG79,LOG,LLM,Yes,Yes,1,1.6520
LOG80,LOG,LLM,Yes,No,0,4.5340
LOG81,LOG,LLM,Yes,Yes,1,4.4930
LOG82,LOG,LLM,No,Yes,0,4.4976
LOG83,LOG,LLM,Yes,Yes,1,4.4985
LOG84,LOG,LLM,No,Yes,0,4.5014
LOG85,LOG,LLM,Yes,Yes,1,4.5194
LOG86,LOG,LLM,No,No,1,4.4739
LOG87,LOG,LLM,Yes,No,0,4.5863
LOG88,LOG,LLM,Yes,Yes,1,1.6486
LOG89,LOG,LLM,Yes,Yes,1,1.7789
LOG90,LOG,LLM,Yes,No,0,4.4914
LOG91,LOG,LLM,Yes,Yes,1,4.5630
LOG92,LOG,LLM,No,Yes,0,4.5379
LOG93,LOG,LLM,Yes,Yes,1,4.4217
LOG94,LOG,LLM,No,Yes,0,4.5507
LOG95,LOG,LLM,Yes,Yes,1,4.5054
LOG96,LOG,LLM,No,No,1,4.3372
LOG97,LOG,LLM,Yes,No,0,4.5650
LOG98,LOG,LLM,Yes,Yes,1,1.6868
LOG99,LOG,LLM,Yes,Yes,1,1.6979
LOG100,LOG,LLM,Yes,No,0,4.4650
WP11,WP,LLM,182,182,1,8.6927
WP12,WP,LLM,150,150,1,8.5299
WP13,WP,LLM,130,130,1,9.2120
WP14,WP,LLM,25,25,1,10.8243
WP15,WP,LLM,6,6,1,10.3451
WP16,WP,LLM,35,35,1,10.1868
WP17,WP,LLM,16,16,1,9.5966
WP18,WP,LLM,75,75,1,10.6446
WP19,WP,LLM,168,168,1,9.8126
WP20,WP,LLM,35,35,1,9.5200
WP21,WP,LLM,110,110,1,8.5637
WP22,WP,LLM,360,360,1,8.6361
WP23,WP,LLM,18,18,1,8.8936
WP24,WP,LLM,60,60,1,10.9032
WP25,WP,LLM,5,5,1,10.2495
WP26,WP,LLM,40,40,1,10.1694
WP27,WP,LLM,2,2,1,9.6412
WP28,WP,LLM,180,180,1,10.3970
WP29,WP,LLM,187,187,1,9.7892
WP30,WP,LLM,35,35,1,2.2084
WP31,WP,LLM,120,120,1,8.7066
WP32,WP,LLM,88,88,1,8.8356
WP33,WP,LLM,20,20,1,8.8645
WP34,WP,LLM,90,90,1,9.8636
WP35,WP,LLM,4,4,1,10.3199
WP36,WP,LLM,22,22,1,10.0961
WP37,WP,LLM,12,12,1,10.0140
WP38,WP,LLM,30,30,1,10.8885
WP39,WP,LLM,72,72,1,9.7902
WP40,WP,LLM,41,41,1,12.4658
WP41,WP,LLM,255,255,1,8.7268
WP42,WP,LLM,352,352,1,8.9033
WP43,WP,LLM,48,48,1,9.3149
WP44,WP,LLM,75,75,1,11.6210
WP45,WP,LLM,1,1,1,10.4843
WP46,WP,LLM,22,22,1,1.6413
WP47,WP,LLM,6,6,1,9.8351
WP48,WP,LLM,35,35,1,8.9806
WP49,WP,LLM,189,189,1,9.8399
WP50,WP,LLM,88,88,1,12.2604
WP51,WP,LLM,39,39,1,8.6582
WP52,WP,LLM,567,567,1,9.3125
WP53,WP,LLM,10,10,1,9.3842
WP54,WP,LLM,36,36,1,11.1171
WP55,WP,LLM,1,1,1,10.2356
WP56,WP,LLM,88,88,1,10.1886
WP57,WP,LLM,3,3,1,9.8674
WP58,WP,LLM,45,45,1,10.4622
WP59,WP,LLM,160,160,1,9.7250
WP60,WP,LLM,70,70,1,12.3239
WP61,WP,LLM,126,126,1,8.6158
WP62,WP,LLM,98,98,1,8.8048
WP63,WP,LLM,131,131,1,9.1028
WP64,WP,LLM,45,45,1,11.2003
WP65,WP,LLM,3,3,1,11.1399
WP66,WP,LLM,40,40,1,10.2186
WP67,WP,LLM,4,4,1,9.9905
WP68,WP,LLM,36,36,1,10.6502
WP69,WP,LLM,120,120,1,9.8995
WP70,WP,LLM,93,93,1,12.2826
WP71,WP,LLM,170,170,1,8.7473
WP72,WP,LLM,448,448,1,8.6714
WP73,WP,LLM,95,95,1,9.0803
WP74,WP,LLM,25,25,1,10.8476
WP75,WP,LLM,1,1,1,10.9288
WP76,WP,LLM,63,63,1,10.8644
WP77,WP,LLM,9,9,1,9.9556
WP78,WP,LLM,45,45,1,10.7798
WP79,WP,LLM,195,195,1,10.0112
WP80,WP,LLM,5,5,1,12.3515
WP81,WP,LLM,44,44,1,8.7981
WP82,WP,LLM,336,336,1,8.5485
WP83,WP,LLM,38,38,1,9.1138
WP84,WP,LLM,40,40,1,10.9791
WP85,WP,LLM,6,6,1,9.0124
WP86,WP,LLM,12,12,1,10.1120
WP87,WP,LLM,9,9,1,9.9972
WP88,WP,LLM,60,90,0,10.6860
WP89,WP,LLM,91,91,1,7.9007
WP90,WP,LLM,41,41,1,12.2719
WP91,WP,LLM,48,48,1,8.7983
WP92,WP,LLM,96,96,1,8.9486
WP93,WP,LLM,7,7,1,9.3384
WP94,WP,LLM,120,120,1,10.9783
WP95,WP,LLM,2,2,1,10.3767
WP96,WP,LLM,32,32,1,10.1028
WP97,WP,LLM,2,2,1,9.8954
WP98,WP,LLM,108,108,1,10.5938
WP99,WP,LLM,68,68,1,10.0378
WP100,WP,LLM,85,85,1,12.2671
