id,category,route,trial,status,expected_answer,final_output,correct,error_code,latency_wall_s,sym_expr,sym_output,log_file
AR41,AR,SYM,1,ok,696,696,1,E0,0.0023,(19 + 68) * 8,696,runs_hybrid_v1/20251221_191702/logs/AR41__SYM__t1.json
AR42,AR,SYM,1,ok,281,281,1,E0,0.0022,343 - 31*2,281,runs_hybrid_v1/20251221_191702/logs/AR42__SYM__t1.json
AR43,AR,SYM,1,ok,22,22,1,E0,0.0022,66 / 3,22,runs_hybrid_v1/20251221_191702/logs/AR43__SYM__t1.json
AR44,AR,SYM,1,ok,5040,5040,1,E0,0.0022,90 * 56,5040,runs_hybrid_v1/20251221_191702/logs/AR44__SYM__t1.json
AR45,AR,SYM,1,ok,330,330,1,E0,0.0025,(11 * 5) + (55 * 5),330,runs_hybrid_v1/20251221_191702/logs/AR45__SYM__t1.json
AR46,AR,SYM,1,ok,14641,14641,1,E0,0.0019,11^4,14641,runs_hybrid_v1/20251221_191702/logs/AR46__SYM__t1.json
AR47,AR,SYM,1,ok,474,474,1,E0,0.0024,(158 / 2) * 6,474,runs_hybrid_v1/20251221_191702/logs/AR47__SYM__t1.json
AR48,AR,SYM,1,ok,657,657,1,E0,0.0022,(606 + 90) - 39,657,runs_hybrid_v1/20251221_191702/logs/AR48__SYM__t1.json
AR49,AR,SYM,1,ok,180,180,1,E0,0.0020,(80 * 9) / 4,180,runs_hybrid_v1/20251221_191702/logs/AR49__SYM__t1.json
AR50,AR,SYM,1,err,98,,0,E8,0.0016,,,runs_hybrid_v1/20251221_191702/logs/AR50__SYM__t1.json
AR51,AR,SYM,1,ok,1116,1116,1,E0,0.0021,(66 + 58) * 9,1116,runs_hybrid_v1/20251221_191702/logs/AR51__SYM__t1.json
AR52,AR,SYM,1,ok,32,32,1,E0,0.0020,72 - 10*4,32,runs_hybrid_v1/20251221_191702/logs/AR52__SYM__t1.json
AR53,AR,SYM,1,ok,27,27,1,E0,0.0018,135 / 5,27,runs_hybrid_v1/20251221_191702/logs/AR53__SYM__t1.json
AR54,AR,SYM,1,ok,504,504,1,E0,0.0020,12 * 42,504,runs_hybrid_v1/20251221_191702/logs/AR54__SYM__t1.json
AR55,AR,SYM,1,ok,912,912,1,E0,0.0023,(55 * 6) + (97 * 6),912,runs_hybrid_v1/20251221_191702/logs/AR55__SYM__t1.json
AR56,AR,SYM,1,ok,14641,14641,1,E0,0.0018,11^4,14641,runs_hybrid_v1/20251221_191702/logs/AR56__SYM__t1.json
AR57,AR,SYM,1,ok,204,204,1,E0,0.0022,(136 / 2) * 3,204,runs_hybrid_v1/20251221_191702/logs/AR57__SYM__t1.json
AR58,AR,SYM,1,ok,675,675,1,E0,0.0022,(732 + 18) - 75,675,runs_hybrid_v1/20251221_191702/logs/AR58__SYM__t1.json
AR59,AR,SYM,1,ok,55,55,1,E0,0.0022,(55 * 3) / 3,55,runs_hybrid_v1/20251221_191702/logs/AR59__SYM__t1.json
AR60,AR,SYM,1,err,108,,0,E8,0.0016,,,runs_hybrid_v1/20251221_191702/logs/AR60__SYM__t1.json
AR61,AR,SYM,1,ok,408,408,1,E0,0.0019,(78 + 58) * 3,408,runs_hybrid_v1/20251221_191702/logs/AR61__SYM__t1.json
AR62,AR,SYM,1,ok,259,259,1,E0,0.0020,329 - 35*2,259,runs_hybrid_v1/20251221_191702/logs/AR62__SYM__t1.json
AR63,AR,SYM,1,ok,17,17,1,E0,0.0020,102 / 6,17,runs_hybrid_v1/20251221_191702/logs/AR63__SYM__t1.json
AR64,AR,SYM,1,ok,980,980,1,E0,0.0019,70 * 14,980,runs_hybrid_v1/20251221_191702/logs/AR64__SYM__t1.json
AR65,AR,SYM,1,ok,1064,1064,1,E0,0.0023,(81 * 8) + (52 * 8),1064,runs_hybrid_v1/20251221_191702/logs/AR65__SYM__t1.json
AR66,AR,SYM,1,ok,100,100,1,E0,0.0021,10^2,100,runs_hybrid_v1/20251221_191702/logs/AR66__SYM__t1.json
AR67,AR,SYM,1,ok,384,384,1,E0,0.0021,(192 / 4) * 8,384,runs_hybrid_v1/20251221_191702/logs/AR67__SYM__t1.json
AR68,AR,SYM,1,ok,233,233,1,E0,0.0021,(165 + 96) - 28,233,runs_hybrid_v1/20251221_191702/logs/AR68__SYM__t1.json
AR69,AR,SYM,1,ok,95,95,1,E0,0.0022,(57 * 5) / 3,95,runs_hybrid_v1/20251221_191702/logs/AR69__SYM__t1.json
AR70,AR,SYM,1,err,146,,0,E8,0.0016,,,runs_hybrid_v1/20251221_191702/logs/AR70__SYM__t1.json
AR71,AR,SYM,1,ok,810,810,1,E0,0.0021,(76 + 59) * 6,810,runs_hybrid_v1/20251221_191702/logs/AR71__SYM__t1.json
AR72,AR,SYM,1,ok,-100,-100,1,E0,0.0020,124 - 28*8,-100,runs_hybrid_v1/20251221_191702/logs/AR72__SYM__t1.json
AR73,AR,SYM,1,ok,28,28,1,E0,0.0020,112 / 4,28,runs_hybrid_v1/20251221_191702/logs/AR73__SYM__t1.json
AR74,AR,SYM,1,ok,4134,4134,1,E0,0.0020,78 * 53,4134,runs_hybrid_v1/20251221_191702/logs/AR74__SYM__t1.json
AR75,AR,SYM,1,ok,404,404,1,E0,0.0023,(76 * 4) + (25 * 4),404,runs_hybrid_v1/20251221_191702/logs/AR75__SYM__t1.json
AR76,AR,SYM,1,ok,2744,2744,1,E0,0.0024,14^3,2744,runs_hybrid_v1/20251221_191702/logs/AR76__SYM__t1.json
AR77,AR,SYM,1,ok,280,280,1,E0,0.0022,(140 / 2) * 4,280,runs_hybrid_v1/20251221_191702/logs/AR77__SYM__t1.json
AR78,AR,SYM,1,ok,648,648,1,E0,0.0021,(565 + 95) - 12,648,runs_hybrid_v1/20251221_191702/logs/AR78__SYM__t1.json
AR79,AR,SYM,1,ok,54,54,1,E0,0.0021,(54 * 9) / 9,54,runs_hybrid_v1/20251221_191702/logs/AR79__SYM__t1.json
AR80,AR,SYM,1,err,32,,0,E8,0.0016,,,runs_hybrid_v1/20251221_191702/logs/AR80__SYM__t1.json
AR81,AR,SYM,1,ok,301,301,1,E0,0.0021,(13 + 30) * 7,301,runs_hybrid_v1/20251221_191702/logs/AR81__SYM__t1.json
AR82,AR,SYM,1,ok,324,324,1,E0,0.0020,496 - 43*4,324,runs_hybrid_v1/20251221_191702/logs/AR82__SYM__t1.json
AR83,AR,SYM,1,ok,10,10,1,E0,0.0018,100 / 10,10,runs_hybrid_v1/20251221_191702/logs/AR83__SYM__t1.json
AR84,AR,SYM,1,ok,1817,1817,1,E0,0.0020,23 * 79,1817,runs_hybrid_v1/20251221_191702/logs/AR84__SYM__t1.json
AR85,AR,SYM,1,ok,665,665,1,E0,0.0023,(57 * 7) + (38 * 7),665,runs_hybrid_v1/20251221_191702/logs/AR85__SYM__t1.json
AR86,AR,SYM,1,ok,216,216,1,E0,0.0024,6^3,216,runs_hybrid_v1/20251221_191702/logs/AR86__SYM__t1.json
AR87,AR,SYM,1,ok,155,155,1,E0,0.0022,(155 / 5) * 5,155,runs_hybrid_v1/20251221_191702/logs/AR87__SYM__t1.json
AR88,AR,SYM,1,ok,412,412,1,E0,0.0021,(429 + 43) - 60,412,runs_hybrid_v1/20251221_191702/logs/AR88__SYM__t1.json
AR89,AR,SYM,1,ok,9,9,1,E0,0.0019,(15 * 3) / 5,9,runs_hybrid_v1/20251221_191702/logs/AR89__SYM__t1.json
AR90,AR,SYM,1,err,78,,0,E8,0.0016,,,runs_hybrid_v1/20251221_191702/logs/AR90__SYM__t1.json
AR91,AR,SYM,1,ok,276,276,1,E0,0.0021,(12 + 34) * 6,276,runs_hybrid_v1/20251221_191702/logs/AR91__SYM__t1.json
AR92,AR,SYM,1,ok,267,267,1,E0,0.0020,339 - 24*3,267,runs_hybrid_v1/20251221_191702/logs/AR92__SYM__t1.json
AR93,AR,SYM,1,ok,24,24,1,E0,0.0018,168 / 7,24,runs_hybrid_v1/20251221_191702/logs/AR93__SYM__t1.json
AR94,AR,SYM,1,ok,1060,1060,1,E0,0.0019,20 * 53,1060,runs_hybrid_v1/20251221_191702/logs/AR94__SYM__t1.json
AR95,AR,SYM,1,ok,632,632,1,E0,0.0023,(80 * 4) + (78 * 4),632,runs_hybrid_v1/20251221_191702/logs/AR95__SYM__t1.json
AR96,AR,SYM,1,ok,169,169,1,E0,0.0023,13^2,169,runs_hybrid_v1/20251221_191702/logs/AR96__SYM__t1.json
AR97,AR,SYM,1,ok,136,136,1,E0,0.0022,(153 / 9) * 8,136,runs_hybrid_v1/20251221_191702/logs/AR97__SYM__t1.json
AR98,AR,SYM,1,ok,866,866,1,E0,0.0021,(895 + 13) - 42,866,runs_hybrid_v1/20251221_191702/logs/AR98__SYM__t1.json
AR99,AR,SYM,1,ok,108,108,1,E0,0.0022,(84 * 9) / 7,108,runs_hybrid_v1/20251221_191702/logs/AR99__SYM__t1.json
AR100,AR,SYM,1,err,44,,0,E8,0.0016,,,runs_hybrid_v1/20251221_191702/logs/AR100__SYM__t1.json
ALG11,ALG,SYM,1,ok,9,9,1,E0,0.0083,9x + -3 = 78,9,runs_hybrid_v1/20251221_191702/logs/ALG11__SYM__t1.json
ALG12,ALG,SYM,1,ok,-18,-18,1,E0,0.0125,8(x + 9) = -72,-18,runs_hybrid_v1/20251221_191702/logs/ALG12__SYM__t1.json
ALG13,ALG,SYM,1,ok,10,10,1,E0,0.0107,(x + 0)/10 = 1,10,runs_hybrid_v1/20251221_191702/logs/ALG13__SYM__t1.json
ALG14,ALG,SYM,1,ok,30,30,1,E0,0.0112,x/3 = 10,30,runs_hybrid_v1/20251221_191702/logs/ALG14__SYM__t1.json
ALG15,ALG,SYM,1,ok,9,9,1,E0,0.0077,3x - (x - 5) = 23,9,runs_hybrid_v1/20251221_191702/logs/ALG15__SYM__t1.json
ALG16,ALG,SYM,1,ok,-4,-4,1,E0,0.0077,2x + -21 = -29,-4,runs_hybrid_v1/20251221_191702/logs/ALG16__SYM__t1.json
ALG17,ALG,SYM,1,ok,-8,-8,1,E0,0.0085,4(x + -5) = -52,-8,runs_hybrid_v1/20251221_191702/logs/ALG17__SYM__t1.json
ALG18,ALG,SYM,1,ok,13,13,1,E0,0.0112,(x + 19)/8 = 4,13,runs_hybrid_v1/20251221_191702/logs/ALG18__SYM__t1.json
ALG19,ALG,SYM,1,ok,180,180,1,E0,0.0111,x/12 = 15,180,runs_hybrid_v1/20251221_191702/logs/ALG19__SYM__t1.json
ALG20,ALG,SYM,1,ok,10,10,1,E0,0.0066,3x - (x - 5) = 25,10,runs_hybrid_v1/20251221_191702/logs/ALG20__SYM__t1.json
ALG21,ALG,SYM,1,ok,-16,-16,1,E0,0.0117,7x + 6 = -106,-16,runs_hybrid_v1/20251221_191702/logs/ALG21__SYM__t1.json
ALG22,ALG,SYM,1,ok,-18,-18,1,E0,0.0117,10(x + 1) = -170,-18,runs_hybrid_v1/20251221_191702/logs/ALG22__SYM__t1.json
ALG23,ALG,SYM,1,ok,2,2,1,E0,0.0120,(x + -8)/6 = -1,2,runs_hybrid_v1/20251221_191702/logs/ALG23__SYM__t1.json
ALG24,ALG,SYM,1,ok,32,32,1,E0,0.0067,x/4 = 8,32,runs_hybrid_v1/20251221_191702/logs/ALG24__SYM__t1.json
ALG25,ALG,SYM,1,ok,-12,-12,1,E0,0.0074,3x - (x - 5) = -19,-12,runs_hybrid_v1/20251221_191702/logs/ALG25__SYM__t1.json
ALG26,ALG,SYM,1,ok,20,20,1,E0,0.0118,12x + -7 = 233,20,runs_hybrid_v1/20251221_191702/logs/ALG26__SYM__t1.json
ALG27,ALG,SYM,1,ok,-19,-19,1,E0,0.0072,7(x + 0) = -133,-19,runs_hybrid_v1/20251221_191702/logs/ALG27__SYM__t1.json
ALG28,ALG,SYM,1,ok,1,1,1,E0,0.0094,(x + 17)/6 = 3,1,runs_hybrid_v1/20251221_191702/logs/ALG28__SYM__t1.json
ALG29,ALG,SYM,1,ok,33,33,1,E0,0.0072,x/3 = 11,33,runs_hybrid_v1/20251221_191702/logs/ALG29__SYM__t1.json
ALG30,ALG,SYM,1,ok,15,15,1,E0,0.0066,3x - (x - 5) = 35,15,runs_hybrid_v1/20251221_191702/logs/ALG30__SYM__t1.json
ALG31,ALG,SYM,1,ok,9,9,1,E0,0.0115,11x + 10 = 109,9,runs_hybrid_v1/20251221_191702/logs/ALG31__SYM__t1.json
ALG32,ALG,SYM,1,ok,9,9,1,E0,0.0064,2(x + -3) = 12,9,runs_hybrid_v1/20251221_191702/logs/ALG32__SYM__t1.json
ALG33,ALG,SYM,1,ok,-14,-14,1,E0,0.0122,(x + -13)/9 = -3,-14,runs_hybrid_v1/20251221_191702/logs/ALG33__SYM__t1.json
ALG34,ALG,SYM,1,ok,-35,-35,1,E0,0.0107,x/5 = -7,-35,runs_hybrid_v1/20251221_191702/logs/ALG34__SYM__t1.json
ALG35,ALG,SYM,1,ok,-3,-3,1,E0,0.0066,3x - (x - 5) = -1,-3,runs_hybrid_v1/20251221_191702/logs/ALG35__SYM__t1.json
ALG36,ALG,SYM,1,ok,13,13,1,E0,0.0080,11x + 19 = 162,13,runs_hybrid_v1/20251221_191702/logs/ALG36__SYM__t1.json
ALG37,ALG,SYM,1,ok,14,14,1,E0,0.0070,4(x + 0) = 56,14,runs_hybrid_v1/20251221_191702/logs/ALG37__SYM__t1.json
ALG38,ALG,SYM,1,ok,-11,-11,1,E0,0.0117,(x + -9)/4 = -5,-11,runs_hybrid_v1/20251221_191702/logs/ALG38__SYM__t1.json
ALG39,ALG,SYM,1,ok,-6,-6,1,E0,0.0096,x/6 = -1,-6,runs_hybrid_v1/20251221_191702/logs/ALG39__SYM__t1.json
ALG40,ALG,SYM,1,ok,9,9,1,E0,0.0048,3x - (x - 5) = 23,9,runs_hybrid_v1/20251221_191702/logs/ALG40__SYM__t1.json
ALG41,ALG,SYM,1,ok,-9,-9,1,E0,0.0078,10x + -30 = -120,-9,runs_hybrid_v1/20251221_191702/logs/ALG41__SYM__t1.json
ALG42,ALG,SYM,1,ok,-19,-19,1,E0,0.0079,2(x + -10) = -58,-19,runs_hybrid_v1/20251221_191702/logs/ALG42__SYM__t1.json
ALG43,ALG,SYM,1,ok,-8,-8,1,E0,0.0083,(x + -10)/6 = -3,-8,runs_hybrid_v1/20251221_191702/logs/ALG43__SYM__t1.json
ALG44,ALG,SYM,1,ok,-91,-91,1,E0,0.0108,x/7 = -13,-91,runs_hybrid_v1/20251221_191702/logs/ALG44__SYM__t1.json
ALG45,ALG,SYM,1,ok,-16,-16,1,E0,0.0065,3x - (x - 5) = -27,-16,runs_hybrid_v1/20251221_191702/logs/ALG45__SYM__t1.json
ALG46,ALG,SYM,1,ok,4,4,1,E0,0.0077,9x + -16 = 20,4,runs_hybrid_v1/20251221_191702/logs/ALG46__SYM__t1.json
ALG47,ALG,SYM,1,ok,-6,-6,1,E0,0.0114,6(x + -1) = -42,-6,runs_hybrid_v1/20251221_191702/logs/ALG47__SYM__t1.json
ALG48,ALG,SYM,1,ok,4,4,1,E0,0.0118,(x + -16)/3 = -4,4,runs_hybrid_v1/20251221_191702/logs/ALG48__SYM__t1.json
ALG49,ALG,SYM,1,ok,-128,-128,1,E0,0.0107,x/8 = -16,-128,runs_hybrid_v1/20251221_191702/logs/ALG49__SYM__t1.json
ALG50,ALG,SYM,1,ok,-20,-20,1,E0,0.0071,3x - (x - 5) = -35,-20,runs_hybrid_v1/20251221_191702/logs/ALG50__SYM__t1.json
ALG51,ALG,SYM,1,ok,15,15,1,E0,0.0066,2x + 18 = 48,15,runs_hybrid_v1/20251221_191702/logs/ALG51__SYM__t1.json
ALG52,ALG,SYM,1,ok,-7,-7,1,E0,0.0072,2(x + 1) = -12,-7,runs_hybrid_v1/20251221_191702/logs/ALG52__SYM__t1.json
ALG53,ALG,SYM,1,ok,-26,-26,1,E0,0.0132,(x + 6)/10 = -2,-26,runs_hybrid_v1/20251221_191702/logs/ALG53__SYM__t1.json
ALG54,ALG,SYM,1,ok,-44,-44,1,E0,0.0108,x/11 = -4,-44,runs_hybrid_v1/20251221_191702/logs/ALG54__SYM__t1.json
ALG55,ALG,SYM,1,ok,8,8,1,E0,0.0064,3x - (x - 5) = 21,8,runs_hybrid_v1/20251221_191702/logs/ALG55__SYM__t1.json
ALG56,ALG,SYM,1,ok,-15,-15,1,E0,0.0077,6x + 21 = -69,-15,runs_hybrid_v1/20251221_191702/logs/ALG56__SYM__t1.json
ALG57,ALG,SYM,1,ok,13,13,1,E0,0.0081,5(x + 9) = 110,13,runs_hybrid_v1/20251221_191702/logs/ALG57__SYM__t1.json
ALG58,ALG,SYM,1,ok,9,9,1,E0,0.0085,(x + -19)/10 = -1,9,runs_hybrid_v1/20251221_191702/logs/ALG58__SYM__t1.json
ALG59,ALG,SYM,1,ok,132,132,1,E0,0.0069,x/12 = 11,132,runs_hybrid_v1/20251221_191702/logs/ALG59__SYM__t1.json
ALG60,ALG,SYM,1,ok,-13,-13,1,E0,0.0064,3x - (x - 5) = -21,-13,runs_hybrid_v1/20251221_191702/logs/ALG60__SYM__t1.json
ALG61,ALG,SYM,1,ok,18,18,1,E0,0.0076,11x + -20 = 178,18,runs_hybrid_v1/20251221_191702/logs/ALG61__SYM__t1.json
ALG62,ALG,SYM,1,ok,11,11,1,E0,0.0074,3(x + 2) = 39,11,runs_hybrid_v1/20251221_191702/logs/ALG62__SYM__t1.json
