id,category,prompt,expected_answer
ALG049,ALG,"Solve for x.
Answer with only the final number.

x = 89 * 179
",15931
ALG050,ALG,"Solve for x.
Answer with only the final number.

x - 103 = 278
",381
ALG051,ALG,"Solve for x.
Answer with only the final number.

x = 113 + 38
",151
ALG052,ALG,"Solve for x.
Answer with only the final number.

x - 163 = 136
",299
ALG053,ALG,"Solve for x.
Answer with only the final number.

x = 146 * 87
",12702
ALG054,ALG,"Solve for x.
Answer with only the final number.

x - 178 = 53
",231
ALG055,ALG,"Solve for x.
Answer with only the final number.

x = 113 - 76
",37
ALG056,ALG,"Solve for x.
Answer with only the final number.

x + 121 = 139
",18
ALG057,ALG,"Solve for x.
Answer with only the final number.

x = 32 + 129
",161
ALG058,ALG,"Solve for x.
Answer with only the final number.

x + 43 = 63
",20
ALG059,ALG,"Solve for x.
Answer with only the final number.

x = 178 - 10
",168
ALG060,ALG,"Solve for x.
Answer with only the final number.

x + 87 = 293
",206
ALG061,ALG,"Solve for x.
Answer with only the final number.

x = 43 + 65
",108
ALG062,ALG,"Solve for x.
Answer with only the final number.

x + 75 = 241
",166
ALG063,ALG,"Solve for x.
Answer with only the final number.

x = 112 - 80
",32
ALG064,ALG,"Solve for x.
Answer with only the final number.

x + 135 = 248
",113
ALG065,ALG,"Solve for x.
Answer with only the final number.

x = 55 + 159
",214
ALG066,ALG,"Solve for x.
Answer with only the final number.

x - 43 = 153
",196
ALG067,ALG,"Solve for x.
Answer with only the final number.

x = 461 - 165
",296
ALG068,ALG,"Solve for x.
Answer with only the final number.

x + 100 = 754
",654
ALG069,ALG,"Solve for x.
Answer with only the final number.

x = 483 - 77
",406
ALG070,ALG,"Solve for x.
Answer with only the final number.

x + 106 = 618
",512
ALG071,ALG,"Solve for x.
Answer with only the final number.

x = 422 + 202
",624
ALG072,ALG,"Solve for x.
Answer with only the final number.

x - 492 = 848
",1340
ALG073,ALG,"Solve for x.
Answer with only the final number.

x = 238 - 220
",18
ALG074,ALG,"Solve for x.
Answer with only the final number.

x + 165 = 868
",703
ALG075,ALG,"Solve for x.
Answer with only the final number.

x = 131 * 292
",38252
ALG076,ALG,"Solve for x.
Answer with only the final number.

x - 451 = 503
",954
ALG077,ALG,"Solve for x.
Answer with only the final number.

x = 315 * 284
",89460
ALG078,ALG,"Solve for x.
Answer with only the final number.

x - 59 = 917
",976
ALG079,ALG,"Solve for x.
Answer with only the final number.

x = 500 - 168
",332
ALG080,ALG,"Solve for x.
Answer with only the final number.

x + 138 = 402
",264
ALG081,ALG,"Solve for x.
Answer with only the final number.

x = 150 + 52
",202
ALG082,ALG,"Solve for x.
Answer with only the final number.

x + 491 = 358
",-133
ALG083,ALG,"Solve for x.
Answer with only the final number.

x = 431 * 420
",181020
ALG084,ALG,"Solve for x.
Answer with only the final number.

x + 155 = 267
",112
ALG085,ALG,"Solve for x.
Answer with only the final number.

x = 344 - 301
",43
ALG086,ALG,"Solve for x.
Answer with only the final number.

x + 81 = 642
",561
ALG087,ALG,"Solve for x.
Answer with only the final number.

x = 102 * 315
",32130
ALG088,ALG,"Solve for x.
Answer with only the final number.

x + 182 = 872
",690
ALG089,ALG,"Solve for x.
Answer with only the final number.

x = 354 * 65
",23010
ALG090,ALG,"Solve for x.
Answer with only the final number.

x - 100 = 518
",618
ALG091,ALG,"Solve for x.
Answer with only the final number.

x = 442 - 199
",243
ALG092,ALG,"Solve for x.
Answer with only the final number.

x + 466 = 897
",431
ALG093,ALG,"Solve for x.
Answer with only the final number.

x = 254 * 96
",24384
ALG094,ALG,"Solve for x.
Answer with only the final number.

x + 361 = 237
",-124
ALG095,ALG,"Solve for x.
Answer with only the final number.

x = 397 - 356
",41
ALG096,ALG,"Solve for x.
Answer with only the final number.

x - 189 = 657
",846
ALG097,ALG,"Solve for x.
Answer with only the final number.

x = 268 - 195
",73
ALG098,ALG,"Solve for x.
Answer with only the final number.

x + 178 = 517
",339
ALG099,ALG,"Solve for x.
Answer with only the final number.

x = 483 - 344
",139
ALG100,ALG,"Solve for x.
Answer with only the final number.

x + 482 = 204
",-278
AR001,AR,"Compute the value of the following expression.
Answer with only the final number.

15 - 1
",14
AR002,AR,"Compute the value of the following expression.
Answer with only the final number.

75 + 5
",80
AR003,AR,"Compute the value of the following expression.
Answer with only the final number.

89 * 11
",979
AR004,AR,"Compute the value of the following expression.
Answer with only the final number.

99 + 46
",145
AR005,AR,"Compute the value of the following expression.
Answer with only the final number.

3 + 4
",7
AR006,AR,"Compute the value of the following expression.
Answer with only the final number.

45 + 83
",128
AR007,AR,"Compute the value of the following expression.
Answer with only the final number.

62 * 79
",4898
AR008,AR,"Compute the value of the following expression.
Answer with only the final number.

20 - 12
",8
AR009,AR,"Compute the value of the following expression.
Answer with only the final number.

92 + 15
",107
AR010,AR,"Compute the value of the following expression.
Answer with only the final number.

65 + 63
",128
AR011,AR,"Compute the value of the following expression.
Answer with only the final number.

9 + 86
",95
AR012,AR,"Compute the value of the following expression.
Answer with only the final number.

60 * 9
",540
AR013,AR,"Compute the value of the following expression.
Answer with only the final number.

87 * 12
",1044
AR014,AR,"Compute the value of the following expression.
Answer with only the final number.

75 * 6
",450
AR015,AR,"Compute the value of the following expression.
Answer with only the final number.

72 - 9
",63
AR016,AR,"Compute the value of the following expression.
Answer with only the final number.

39 * 62
",2418
AR017,AR,"Compute the value of the following expression.
Answer with only the final number.

35 - 32
",3
AR018,AR,"Compute the value of the following expression.
Answer with only the final number.

26 * 59
",1534
AR019,AR,"Compute the value of the following expression.
Answer with only the final number.

86 * 3
",258
AR020,AR,"Compute the value of the following expression.
Answer with only the final number.

10 * 1
",10
AR021,AR,"Compute the value of the following expression.
Answer with only the final number.

91 - 19
",72
AR022,AR,"Compute the value of the following expression.
Answer with only the final number.

85 - 49
",36
AR023,AR,"Compute the value of the following expression.
Answer with only the final number.

7 + 10
",17
AR024,AR,"Compute the value of the following expression.
Answer with only the final number.

64 * 21
",1344
AR025,AR,"Compute the value of the following expression.
Answer with only the final number.

72 + 28
",100
AR026,AR,"Compute the value of the following expression.
Answer with only the final number.

4 + 45
",49
AR027,AR,"Compute the value of the following expression.
Answer with only the final number.

68 + 19
",87
AR028,AR,"Compute the value of the following expression.
Answer with only the final number.

40 * 59
",2360
AR029,AR,"Compute the value of the following expression.
Answer with only the final number.

54 + 36
",90
AR030,AR,"Compute the value of the following expression.
Answer with only the final number.

6 * 23
",138
AR031,AR,"Compute the value of the following expression.
Answer with only the final number.

39 - 20
",19
AR032,AR,"Compute the value of the following expression.
Answer with only the final number.

100 + 60
",160
AR033,AR,"Compute the value of the following expression.
Answer with only the final number.

73 + 50
",123
AR034,AR,"Compute the value of the following expression.
Answer with only the final number.

263 - 184
",79
AR035,AR,"Compute the value of the following expression.
Answer with only the final number.

428 * 249
",106572
AR036,AR,"Compute the value of the following expression.
Answer with only the final number.

410 - 33
",377
AR037,AR,"Compute the value of the following expression.
Answer with only the final number.

455 - 428
",27
AR038,AR,"Compute the value of the following expression.
Answer with only the final number.

461 * 97
",44717
AR039,AR,"Compute the value of the following expression.
Answer with only the final number.

409 - 385
",24
AR040,AR,"Compute the value of the following expression.
Answer with only the final number.

427 * 234
",99918
AR041,AR,"Compute the value of the following expression.
Answer with only the final number.

150 - 73
",77
AR042,AR,"Compute the value of the following expression.
Answer with only the final number.

223 + 233
",456
AR043,AR,"Compute the value of the following expression.
Answer with only the final number.

490 + 281
",771
AR044,AR,"Compute the value of the following expression.
Answer with only the final number.

434 + 440
",874
AR045,AR,"Compute the value of the following expression.
Answer with only the final number.

428 - 202
",226
AR046,AR,"Compute the value of the following expression.
Answer with only the final number.

140 * 338
",47320
AR047,AR,"Compute the value of the following expression.
Answer with only the final number.

186 + 65
",251
AR048,AR,"Compute the value of the following expression.
Answer with only the final number.

368 * 424
",156032
AR049,AR,"Compute the value of the following expression.
Answer with only the final number.

307 + 474
",781
AR050,AR,"Compute the value of the following expression.
Answer with only the final number.

444 - 89
",355
AR051,AR,"Compute the value of the following expression.
Answer with only the final number.

175 * 416
",72800
AR052,AR,"Compute the value of the following expression.
Answer with only the final number.

378 - 46
",332
AR053,AR,"Compute the value of the following expression.
Answer with only the final number.

212 + 119
",331
AR054,AR,"Compute the value of the following expression.
Answer with only the final number.

468 + 156
",624
AR055,AR,"Compute the value of the following expression.
Answer with only the final number.

122 + 269
",391
AR056,AR,"Compute the value of the following expression.
Answer with only the final number.

415 + 487
",902
AR057,AR,"Compute the value of the following expression.
Answer with only the final number.

172 * 166
",28552
AR058,AR,"Compute the value of the following expression.
Answer with only the final number.

309 - 43
",266
AR059,AR,"Compute the value of the following expression.
Answer with only the final number.

448 - 47
",401
AR060,AR,"Compute the value of the following expression.
Answer with only the final number.

228 * 496
",113088
AR061,AR,"Compute the value of the following expression.
Answer with only the final number.

61 + 213
",274
AR062,AR,"Compute the value of the following expression.
Answer with only the final number.

370 + 463
",833
AR063,AR,"Compute the value of the following expression.
Answer with only the final number.

266 - 130
",136
AR064,AR,"Compute the value of the following expression.
Answer with only the final number.

486 - 449
",37
AR065,AR,"Compute the value of the following expression.
Answer with only the final number.

273 + 465
",738
AR066,AR,"Compute the value of the following expression.
Answer with only the final number.

225 * 99
",22275
AR067,AR,"Compute the value of the following expression.
Answer with only the final number.

308 * 409
",125972
AR068,AR,"Compute the value of the following expression.
Answer with only the final number.

932 + 460
",1392
AR069,AR,"Compute the value of the following expression.
Answer with only the final number.

256 * 611
",156416
AR070,AR,"Compute the value of the following expression.
Answer with only the final number.

583 * 441
",257103
AR071,AR,"Compute the value of the following expression.
Answer with only the final number.

234 + 149
",383
AR072,AR,"Compute the value of the following expression.
Answer with only the final number.

269 * 248
",66712
AR073,AR,"Compute the value of the following expression.
Answer with only the final number.

171 * 830
",141930
AR074,AR,"Compute the value of the following expression.
Answer with only the final number.

275 - 101
",174
AR075,AR,"Compute the value of the following expression.
Answer with only the final number.

790 * 162
",127980
AR076,AR,"Compute the value of the following expression.
Answer with only the final number.

189 * 876
",165564
AR077,AR,"Compute the value of the following expression.
Answer with only the final number.

322 + 140
",462
AR078,AR,"Compute the value of the following expression.
Answer with only the final number.

854 - 500
",354
AR079,AR,"Compute the value of the following expression.
Answer with only the final number.

942 - 312
",630
AR080,AR,"Compute the value of the following expression.
Answer with only the final number.

490 * 995
",487550
AR081,AR,"Compute the value of the following expression.
Answer with only the final number.

747 - 650
",97
AR082,AR,"Compute the value of the following expression.
Answer with only the final number.

532 - 426
",106
AR083,AR,"Compute the value of the following expression.
Answer with only the final number.

691 * 967
",668197
AR084,AR,"Compute the value of the following expression.
Answer with only the final number.

958 + 645
",1603
AR085,AR,"Compute the value of the following expression.
Answer with only the final number.

882 + 366
",1248
AR086,AR,"Compute the value of the following expression.
Answer with only the final number.

520 - 509
",11
AR087,AR,"Compute the value of the following expression.
Answer with only the final number.

383 * 638
",244354
AR088,AR,"Compute the value of the following expression.
Answer with only the final number.

818 + 484
",1302
AR089,AR,"Compute the value of the following expression.
Answer with only the final number.

404 - 319
",85
AR090,AR,"Compute the value of the following expression.
Answer with only the final number.

957 * 701
",670857
AR091,AR,"Compute the value of the following expression.
Answer with only the final number.

457 - 153
",304
AR092,AR,"Compute the value of the following expression.
Answer with only the final number.

895 - 338
",557
AR093,AR,"Compute the value of the following expression.
Answer with only the final number.

489 - 269
",220
AR094,AR,"Compute the value of the following expression.
Answer with only the final number.

175 - 102
",73
AR095,AR,"Compute the value of the following expression.
Answer with only the final number.

504 - 405
",99
AR096,AR,"Compute the value of the following expression.
Answer with only the final number.

962 - 799
",163
AR097,AR,"Compute the value of the following expression.
Answer with only the final number.

510 - 290
",220
AR098,AR,"Compute the value of the following expression.
Answer with only the final number.

589 * 260
",153140
AR099,AR,"Compute the value of the following expression.
Answer with only the final number.

705 - 478
",227
AR100,AR,"Compute the value of the following expression.
Answer with only the final number.

714 * 454
",324156
LOG001,LOG,"Read the passage and answer the question.
Answer with only Yes or No.

Passage:
All flowers are mammals. All mammals are beings. Spot is a flowers.

Question:
Is Spot a beings?
",Yes
LOG002,LOG,"Read the passage and answer the question.
Answer with only Yes or No.

Passage:
No dogs are living things. All objects are dogs. Max is a objects.

Question:
Is Max a living things?
",No
LOG003,LOG,"Read the passage and answer the question.
Answer with only Yes or No.

Passage:
If the light is on, then it is warm. the light is on is true.

Question:
Is it is warm true?
",Yes
LOG004,LOG,"Read the passage and answer the question.
Answer with only Yes or No.

Passage:
If it rains, then the room is bright. it rains is false.

Question:
Is the room is bright true?
",No
LOG005,LOG,"Read the passage and answer the question.
Answer with only Yes or No.

Passage:
All fish are mammals. All mammals are items. Rocky is a fish.

Question:
Is Rocky a items?
",Yes
LOG006,LOG,"Read the passage and answer the question.
Answer with only Yes or No.

Passage:
No cats are organisms. All creatures are cats. Spot is a creatures.

Question:
Is Spot a organisms?
",No
LOG007,LOG,"Read the passage and answer the question.
Answer with only Yes or No.

Passage:
If the light is on, then the ground is wet. the light is on is true.

Question:
Is the ground is wet true?
",Yes
LOG008,LOG,"Read the passage and answer the question.
Answer with only Yes or No.

Passage:
If the light is on, then the room is bright. the light is on is false.

Question:
Is the room is bright true?
",No
LOG009,LOG,"Read the passage and answer the question.
Answer with only Yes or No.

Passage:
All birds are mammals. All mammals are beings. Rocky is a birds.

Question:
Is Rocky a beings?
",Yes
LOG010,LOG,"Read the passage and answer the question.
Answer with only Yes or No.

Passage:
No fish are animals. All beings are fish. Luna is a beings.

Question:
Is Luna a animals?
",No
LOG011,LOG,"Read the passage and answer the question.
Answer with only Yes or No.

Passage:
If the door is open, then the ground is wet. the door is open is true.

Question:
Is the ground is wet true?
",Yes
LOG012,LOG,"Read the passage and answer the question.
Answer with only Yes or No.

Passage:
If the sun shines, then the room is bright. the sun shines is false.

Question:
Is the room is bright true?
",No
LOG013,LOG,"Read the passage and answer the question.
Answer with only Yes or No.

Passage:
All cats are devices. All devices are things. Luna is a cats.

Question:
Is Luna a things?
",Yes
LOG014,LOG,"Read the passage and answer the question.
Answer with only Yes or No.

Passage:
No flowers are machines. All beings are flowers. Rocky is a beings.

Question:
Is Rocky a machines?
",No
LOG015,LOG,"Read the passage and answer the question.
Answer with only Yes or No.

Passage:
If the sun shines, then the room is bright. the sun shines is true.

Question:
Is the room is bright true?
",Yes
LOG016,LOG,"Read the passage and answer the question.
Answer with only Yes or No.

Passage:
If the light is on, then the room is bright. the light is on is false.

Question:
Is the room is bright true?
",No
LOG017,LOG,"Read the passage and answer the question.
Answer with only Yes or No.

Passage:
All robots are plants. All plants are entities. Luna is a robots.

Question:
Is Luna a entities?
",Yes
LOG018,LOG,"Read the passage and answer the question.
Answer with only Yes or No.

Passage:
No robots are animals. All items are robots. Luna is a items.

Question:
Is Luna a animals?
",No
LOG019,LOG,"Read the passage and answer the question.
Answer with only Yes or No.

Passage:
If the door is open, then the ground is wet. the door is open is true.

Question:
Is the ground is wet true?
",Yes
LOG020,LOG,"Read the passage and answer the question.
Answer with only Yes or No.

Passage:
If the door is open, then the room is bright. the door is open is false.

Question:
Is the room is bright true?
",No
LOG021,LOG,"Read the passage and answer the question.
Answer with only Yes or No.

Passage:
All dogs are devices. All devices are objects. Spot is a dogs.

Question:
Is Spot a objects?
",Yes
LOG022,LOG,"Read the passage and answer the question.
Answer with only Yes or No.

Passage:
No dogs are machines. All entities are dogs. Rocky is a entities.

Question:
Is Rocky a machines?
",No
LOG023,LOG,"Read the passage and answer the question.
Answer with only Yes or No.

Passage:
If the sun shines, then it is warm. the sun shines is true.

Question:
Is it is warm true?
",Yes
LOG024,LOG,"Read the passage and answer the question.
Answer with only Yes or No.

Passage:
If the light is on, then the room is bright. the light is on is false.

Question:
Is the room is bright true?
",No
LOG025,LOG,"Read the passage and answer the question.
Answer with only Yes or No.

Passage:
All computers are animals. All animals are entities. Fluffy is a computers.

Question:
Is Fluffy a entities?
",Yes
LOG026,LOG,"Read the passage and answer the question.
Answer with only Yes or No.

Passage:
No dogs are plants. All objects are dogs. Charlie is a objects.

Question:
Is Charlie a plants?
",No
LOG027,LOG,"Read the passage and answer the question.
Answer with only Yes or No.

Passage:
If it rains, then the room is bright. it rains is true.

Question:
Is the room is bright true?
",Yes
LOG028,LOG,"Read the passage and answer the question.
Answer with only Yes or No.

Passage:
If the light is on, then air flows through. the light is on is false.

Question:
Is air flows through true?
",No
LOG029,LOG,"Read the passage and answer the question.
Answer with only Yes or No.

Passage:
All robots are machines. All machines are objects. Charlie is a robots.

Question:
Is Charlie a objects?
",Yes
LOG030,LOG,"Read the passage and answer the question.
Answer with only Yes or No.

Passage:
No robots are machines. All things are robots. Buddy is a things.

Question:
Is Buddy a machines?
",No
LOG031,LOG,"Read the passage and answer the question.
Answer with only Yes or No.

Passage:
If it rains, then air flows through. it rains is true.

Question:
Is air flows through true?
",Yes
LOG032,LOG,"Read the passage and answer the question.
Answer with only Yes or No.

Passage:
If the light is on, then air flows through. the light is on is false.

Question:
Is air flows through true?
",No
LOG033,LOG,"Read the passage and answer the question.
Answer with only Yes or No.

Passage:
All cats are mammals. All mammals are things. Daisy is a cats.

Question:
Is Daisy a things?
",Yes
LOG034,LOG,"Read the passage and answer the question.
Answer with only Yes or No.

Passage:
No flowers are animals. All things are flowers. Rocky is a things.

Question:
Is Rocky a animals?
",No
LOG035,LOG,"Read the passage and answer the question.
Answer with only Yes or No.

Passage:
If the sun shines, then it is warm. the sun shines is true.

Question:
Is it is warm true?
",Yes
LOG036,LOG,"Read the passage and answer the question.
Answer with only Yes or No.

Passage:
If it rains, then the room is bright. it rains is false.

Question:
Is the room is bright true?
",No
LOG037,LOG,"Read the passage and answer the question.
Answer with only Yes or No.

Passage:
All dogs are mammals. All mammals are objects. Rocky is a dogs.

Question:
Is Rocky a objects?
",Yes
LOG038,LOG,"Read the passage and answer the question.
Answer with only Yes or No.

Passage:
No computers are organisms. All objects are computers. Buddy is a objects.

Question:
Is Buddy a organisms?
",No
LOG039,LOG,"Read the passage and answer the question.
Answer with only Yes or No.

Passage:
If it rains, then it is warm. it rains is true.

Question:
Is it is warm true?
",Yes
LOG040,LOG,"Read the passage and answer the question.
Answer with only Yes or No.

Passage:
If the light is on, then air flows through. the light is on is false.

Question:
Is air flows through true?
",No
LOG041,LOG,"Read the passage and answer the question.
Answer with only Yes or No.

Passage:
All dogs are living things. All living things are creatures. Spot is a dogs.

Question:
Is Spot a creatures?
",Yes
LOG042,LOG,"Read the passage and answer the question.
Answer with only Yes or No.

Passage:
No computers are animals. All beings are computers. Daisy is a beings.

Question:
Is Daisy a animals?
",No
LOG043,LOG,"Read the passage and answer the question.
Answer with only Yes or No.

Passage:
If the door is open, then the room is bright. the door is open is true.

Question:
Is the room is bright true?
",Yes
LOG044,LOG,"Read the passage and answer the question.
Answer with only Yes or No.

Passage:
If the light is on, then it is warm. the light is on is false.

Question:
Is it is warm true?
",No
LOG045,LOG,"Read the passage and answer the question.
Answer with only Yes or No.

Passage:
All computers are devices. All devices are beings. Fluffy is a computers.

Question:
Is Fluffy a beings?
",Yes
LOG046,LOG,"Read the passage and answer the question.
Answer with only Yes or No.

Passage:
No birds are machines. All things are birds. Charlie is a things.

Question:
Is Charlie a machines?
",No
LOG047,LOG,"Read the passage and answer the question.
Answer with only Yes or No.

Passage:
If the door is open, then it is warm. the door is open is true.

Question:
Is it is warm true?
",Yes
LOG048,LOG,"Read the passage and answer the question.
Answer with only Yes or No.

Passage:
If the door is open, then the room is bright. the door is open is false.

Question:
Is the room is bright true?
",No
LOG049,LOG,"Read the passage and answer the question.
Answer with only Yes or No.

Passage:
All cats are devices. All devices are creatures. Spot is a cats.

Question:
Is Spot a creatures?
",Yes
LOG050,LOG,"Read the passage and answer the question.
Answer with only Yes or No.

Passage:
No fish are organisms. All creatures are fish. Daisy is a creatures.

Question:
Is Daisy a organisms?
",No
LOG051,LOG,"Read the passage and answer the question.
Answer with only Yes or No.

Passage:
If the light is on, then air flows through. the light is on is true.

Question:
Is air flows through true?
",Yes
LOG052,LOG,"Read the passage and answer the question.
Answer with only Yes or No.

Passage:
If it rains, then air flows through. it rains is false.

Question:
Is air flows through true?
",No
LOG053,LOG,"Read the passage and answer the question.
Answer with only Yes or No.

Passage:
All computers are machines. All machines are entities. Spot is a computers.

Question:
Is Spot a entities?
",Yes
LOG054,LOG,"Read the passage and answer the question.
Answer with only Yes or No.

Passage:
No fish are living things. All creatures are fish. Charlie is a creatures.

Question:
Is Charlie a living things?
",No
LOG055,LOG,"Read the passage and answer the question.
Answer with only Yes or No.

Passage:
If the door is open, then air flows through. the door is open is true.

Question:
Is air flows through true?
",Yes
LOG056,LOG,"Read the passage and answer the question.
Answer with only Yes or No.

Passage:
If the door is open, then the ground is wet. the door is open is false.

Question:
Is the ground is wet true?
",No
LOG057,LOG,"Read the passage and answer the question.
Answer with only Yes or No.

Passage:
All computers are devices. All devices are objects. Spot is a computers.

Question:
Is Spot a objects?
",Yes
LOG058,LOG,"Read the passage and answer the question.
Answer with only Yes or No.

Passage:
No computers are devices. All entities are computers. Luna is a entities.

Question:
Is Luna a devices?
",No
LOG059,LOG,"Read the passage and answer the question.
Answer with only Yes or No.

Passage:
If the light is on, then it is warm. the light is on is true.

Question:
Is it is warm true?
",Yes
LOG060,LOG,"Read the passage and answer the question.
Answer with only Yes or No.

Passage:
If the sun shines, then it is warm. the sun shines is false.

Question:
Is it is warm true?
",No
LOG061,LOG,"Read the passage and answer the question.
Answer with only Yes or No.

Passage:
All flowers are organisms. All organisms are items. Charlie is a flowers.

Question:
Is Charlie a items?
",Yes
LOG062,LOG,"Read the passage and answer the question.
Answer with only Yes or No.

Passage:
No flowers are living things. All creatures are flowers. Rocky is a creatures.

Question:
Is Rocky a living things?
",No
LOG063,LOG,"Read the passage and answer the question.
Answer with only Yes or No.

Passage:
If the sun shines, then the ground is wet. the sun shines is true.

Question:
Is the ground is wet true?
",Yes
LOG064,LOG,"Read the passage and answer the question.
Answer with only Yes or No.

Passage:
If the door is open, then it is warm. the door is open is false.

Question:
Is it is warm true?
",No
LOG065,LOG,"Read the passage and answer the question.
Answer with only Yes or No.

Passage:
All dogs are organisms. All organisms are things. Buddy is a dogs.

Question:
Is Buddy a things?
",Yes
LOG066,LOG,"Read the passage and answer the question.
Answer with only Yes or No.

Passage:
No fish are devices. All things are fish. Rocky is a things.

Question:
Is Rocky a devices?
",No
LOG067,LOG,"Read the passage and answer the question.
Answer with only Yes or No.

Passage:
If it rains, then it is warm. it rains is true.

Question:
Is it is warm true?
",Yes
LOG068,LOG,"Read the passage and answer the question.
Answer with only Yes or No.

Passage:
If the light is on, then air flows through. the light is on is false.

Question:
Is air flows through true?
",No
LOG069,LOG,"Read the passage and answer the question.
Answer with only Yes or No.

Passage:
All fish are organisms. All organisms are beings. Charlie is a fish.

Question:
Is Charlie a beings?
",Yes
LOG070,LOG,"Read the passage and answer the question.
Answer with only Yes or No.

Passage:
No cats are mammals. All items are cats. Buddy is a items.

Question:
Is Buddy a mammals?
",No
LOG071,LOG,"Read the passage and answer the question.
Answer with only Yes or No.

Passage:
If the sun shines, then the room is bright. the sun shines is true.

Question:
Is the room is bright true?
",Yes
LOG072,LOG,"Read the passage and answer the question.
Answer with only Yes or No.

Passage:
If the door is open, then it is warm. the door is open is false.

Question:
Is it is warm true?
",No
LOG073,LOG,"Read the passage and answer the question.
Answer with only Yes or No.

Passage:
All birds are living things. All living things are entities. Rocky is a birds.

Question:
Is Rocky a entities?
",Yes
LOG074,LOG,"Read the passage and answer the question.
Answer with only Yes or No.

Passage:
No computers are devices. All objects are computers. Daisy is a objects.

Question:
Is Daisy a devices?
",No
LOG075,LOG,"Read the passage and answer the question.
Answer with only Yes or No.

Passage:
If the sun shines, then it is warm. the sun shines is true.

Question:
Is it is warm true?
",Yes
LOG076,LOG,"Read the passage and answer the question.
Answer with only Yes or No.

Passage:
If the door is open, then it is warm. the door is open is false.

Question:
Is it is warm true?
",No
