id,category,prompt,expected_answer
ALG049,ALG,"Solve for x.
Answer with only the final number.

x = 22 * 8
",176
ALG050,ALG,"Solve for x.
Answer with only the final number.

x + 7 = 60
",53
ALG051,ALG,"Solve for x.
Answer with only the final number.

x = 10 * 5
",50
ALG052,ALG,"Solve for x.
Answer with only the final number.

x - 34 = 40
",74
ALG053,ALG,"Solve for x.
Answer with only the final number.

x = 33 * 32
",1056
ALG054,ALG,"Solve for x.
Answer with only the final number.

x + 4 = 52
",48
ALG055,ALG,"Solve for x.
Answer with only the final number.

x = 47 * 50
",2350
ALG056,ALG,"Solve for x.
Answer with only the final number.

x - 16 = 84
",100
ALG057,ALG,"Solve for x.
Answer with only the final number.

x = 35 * 20
",700
ALG058,ALG,"Solve for x.
Answer with only the final number.

x - 43 = 11
",54
ALG059,ALG,"Solve for x.
Answer with only the final number.

x = 49 - 26
",23
ALG060,ALG,"Solve for x.
Answer with only the final number.

x - 17 = 56
",73
ALG061,ALG,"Solve for x.
Answer with only the final number.

x = 12 * 14
",168
ALG062,ALG,"Solve for x.
Answer with only the final number.

x - 48 = 12
",60
ALG063,ALG,"Solve for x.
Answer with only the final number.

x = 7 + 12
",19
ALG064,ALG,"Solve for x.
Answer with only the final number.

x - 22 = 1
",23
ALG065,ALG,"Solve for x.
Answer with only the final number.

x = 36 * 10
",360
ALG066,ALG,"Solve for x.
Answer with only the final number.

x + 10 = 17
",7
ALG067,ALG,"Solve for x.
Answer with only the final number.

x = 33 - 29
",4
ALG068,ALG,"Solve for x.
Answer with only the final number.

x - 45 = 13
",58
ALG069,ALG,"Solve for x.
Answer with only the final number.

x = 32 - 18
",14
ALG070,ALG,"Solve for x.
Answer with only the final number.

x + 30 = 16
",-14
ALG071,ALG,"Solve for x.
Answer with only the final number.

x = 38 + 49
",87
ALG072,ALG,"Solve for x.
Answer with only the final number.

x - 9 = 36
",45
ALG073,ALG,"Solve for x.
Answer with only the final number.

x = 15 - 7
",8
ALG074,ALG,"Solve for x.
Answer with only the final number.

x + 41 = 66
",25
ALG075,ALG,"Solve for x.
Answer with only the final number.

x = 8 - 4
",4
ALG076,ALG,"Solve for x.
Answer with only the final number.

x + 33 = 28
",-5
ALG077,ALG,"Solve for x.
Answer with only the final number.

x = 20 * 47
",940
ALG078,ALG,"Solve for x.
Answer with only the final number.

x - 17 = 61
",78
ALG079,ALG,"Solve for x.
Answer with only the final number.

x = 49 - 15
",34
ALG080,ALG,"Solve for x.
Answer with only the final number.

x + 10 = 86
",76
ALG081,ALG,"Solve for x.
Answer with only the final number.

x = 35 - 26
",9
ALG082,ALG,"Solve for x.
Answer with only the final number.

x - 50 = 55
",105
ALG083,ALG,"Solve for x.
Answer with only the final number.

x = 29 + 24
",53
ALG084,ALG,"Solve for x.
Answer with only the final number.

x - 69 = 98
",167
ALG085,ALG,"Solve for x.
Answer with only the final number.

x = 57 + 60
",117
ALG086,ALG,"Solve for x.
Answer with only the final number.

x + 11 = 139
",128
ALG087,ALG,"Solve for x.
Answer with only the final number.

x = 200 * 195
",39000
ALG088,ALG,"Solve for x.
Answer with only the final number.

x + 62 = 93
",31
ALG089,ALG,"Solve for x.
Answer with only the final number.

x = 157 - 135
",22
ALG090,ALG,"Solve for x.
Answer with only the final number.

x + 25 = 281
",256
ALG091,ALG,"Solve for x.
Answer with only the final number.

x = 36 * 142
",5112
ALG092,ALG,"Solve for x.
Answer with only the final number.

x + 76 = 48
",-28
ALG093,ALG,"Solve for x.
Answer with only the final number.

x = 114 + 91
",205
ALG094,ALG,"Solve for x.
Answer with only the final number.

x + 95 = 159
",64
ALG095,ALG,"Solve for x.
Answer with only the final number.

x = 112 * 33
",3696
ALG096,ALG,"Solve for x.
Answer with only the final number.

x + 165 = 78
",-87
ALG097,ALG,"Solve for x.
Answer with only the final number.

x = 183 - 163
",20
ALG098,ALG,"Solve for x.
Answer with only the final number.

x - 79 = 288
",367
ALG099,ALG,"Solve for x.
Answer with only the final number.

x = 119 - 82
",37
ALG100,ALG,"Solve for x.
Answer with only the final number.

x + 74 = 218
",144
ALG101,ALG,"Solve for x.
Answer with only the final number.

x = 157 - 36
",121
ALG102,ALG,"Solve for x.
Answer with only the final number.

x + 39 = 248
",209
ALG103,ALG,"Solve for x.
Answer with only the final number.

x = 46 + 47
",93
ALG104,ALG,"Solve for x.
Answer with only the final number.

x + 56 = 141
",85
ALG105,ALG,"Solve for x.
Answer with only the final number.

x = 90 + 197
",287
ALG106,ALG,"Solve for x.
Answer with only the final number.

x + 55 = 13
",-42
ALG107,ALG,"Solve for x.
Answer with only the final number.

x = 17 * 35
",595
ALG108,ALG,"Solve for x.
Answer with only the final number.

x - 111 = 115
",226
ALG109,ALG,"Solve for x.
Answer with only the final number.

x = 178 - 108
",70
ALG110,ALG,"Solve for x.
Answer with only the final number.

x - 179 = 22
",201
ALG111,ALG,"Solve for x.
Answer with only the final number.

x = 111 * 66
",7326
ALG112,ALG,"Solve for x.
Answer with only the final number.

x + 85 = 42
",-43
ALG113,ALG,"Solve for x.
Answer with only the final number.

x = 45 - 45
",0
ALG114,ALG,"Solve for x.
Answer with only the final number.

x - 137 = 76
",213
ALG115,ALG,"Solve for x.
Answer with only the final number.

x = 129 * 83
",10707
ALG116,ALG,"Solve for x.
Answer with only the final number.

x + 52 = 272
",220
ALG117,ALG,"Solve for x.
Answer with only the final number.

x = 117 - 99
",18
ALG118,ALG,"Solve for x.
Answer with only the final number.

x - 73 = 186
",259
ALG119,ALG,"Solve for x.
Answer with only the final number.

x = 170 - 128
",42
ALG120,ALG,"Solve for x.
Answer with only the final number.

x - 116 = 79
",195
ALG121,ALG,"Solve for x.
Answer with only the final number.

x = 153 - 71
",82
ALG122,ALG,"Solve for x.
Answer with only the final number.

x - 98 = 196
",294
ALG123,ALG,"Solve for x.
Answer with only the final number.

x = 94 * 75
",7050
ALG124,ALG,"Solve for x.
Answer with only the final number.

x - 89 = 213
",302
ALG125,ALG,"Solve for x.
Answer with only the final number.

x = 40 + 200
",240
ALG126,ALG,"Solve for x.
Answer with only the final number.

x + 177 = 226
",49
ALG127,ALG,"Solve for x.
Answer with only the final number.

x = 127 - 104
",23
ALG128,ALG,"Solve for x.
Answer with only the final number.

x + 148 = 70
",-78
ALG129,ALG,"Solve for x.
Answer with only the final number.

x = 158 + 12
",170
ALG130,ALG,"Solve for x.
Answer with only the final number.

x + 82 = 239
",157
ALG131,ALG,"Solve for x.
Answer with only the final number.

x = 160 - 13
",147
ALG132,ALG,"Solve for x.
Answer with only the final number.

x - 179 = 62
",241
ALG133,ALG,"Solve for x.
Answer with only the final number.

x = 183 - 115
",68
ALG134,ALG,"Solve for x.
Answer with only the final number.

x - 113 = 165
",278
ALG135,ALG,"Solve for x.
Answer with only the final number.

x = 122 * 18
",2196
ALG136,ALG,"Solve for x.
Answer with only the final number.

x + 146 = 95
",-51
ALG137,ALG,"Solve for x.
Answer with only the final number.

x = 41 * 106
",4346
ALG138,ALG,"Solve for x.
Answer with only the final number.

x - 191 = 51
",242
ALG139,ALG,"Solve for x.
Answer with only the final number.

x = 104 + 98
",202
ALG140,ALG,"Solve for x.
Answer with only the final number.

x - 34 = 295
",329
ALG141,ALG,"Solve for x.
Answer with only the final number.

x = 108 * 133
",14364
ALG142,ALG,"Solve for x.
Answer with only the final number.

x + 163 = 239
",76
ALG143,ALG,"Solve for x.
Answer with only the final number.

x = 13 * 95
",1235
ALG144,ALG,"Solve for x.
Answer with only the final number.

x + 184 = 80
",-104
ALG145,ALG,"Solve for x.
Answer with only the final number.

x = 186 + 120
",306
ALG146,ALG,"Solve for x.
Answer with only the final number.

x + 126 = 288
",162
ALG147,ALG,"Solve for x.
Answer with only the final number.

x = 80 + 148
",228
ALG148,ALG,"Solve for x.
Answer with only the final number.

x + 185 = 109
",-76
ALG149,ALG,"Solve for x.
Answer with only the final number.

x = 58 + 78
",136
ALG150,ALG,"Solve for x.
Answer with only the final number.

x + 63 = 245
",182
ALG151,ALG,"Solve for x.
Answer with only the final number.

x = 176 + 182
",358
ALG152,ALG,"Solve for x.
Answer with only the final number.

x - 95 = 126
",221
ALG153,ALG,"Solve for x.
Answer with only the final number.

x = 89 + 155
",244
ALG154,ALG,"Solve for x.
Answer with only the final number.

x + 158 = 146
",-12
ALG155,ALG,"Solve for x.
Answer with only the final number.

x = 79 * 126
",9954
ALG156,ALG,"Solve for x.
Answer with only the final number.

x + 84 = 182
",98
ALG157,ALG,"Solve for x.
Answer with only the final number.

x = 134 * 167
",22378
ALG158,ALG,"Solve for x.
Answer with only the final number.

x - 50 = 144
",194
ALG159,ALG,"Solve for x.
Answer with only the final number.

x = 50 - 40
",10
ALG160,ALG,"Solve for x.
Answer with only the final number.

x - 112 = 48
",160
ALG161,ALG,"Solve for x.
Answer with only the final number.

x = 173 + 114
",287
ALG162,ALG,"Solve for x.
Answer with only the final number.

x - 169 = 81
",250
ALG163,ALG,"Solve for x.
Answer with only the final number.

x = 114 + 173
",287
ALG164,ALG,"Solve for x.
Answer with only the final number.

x - 161 = 228
",389
ALG165,ALG,"Solve for x.
Answer with only the final number.

x = 61 * 167
",10187
ALG166,ALG,"Solve for x.
Answer with only the final number.

x - 34 = 169
",203
ALG167,ALG,"Solve for x.
Answer with only the final number.

x = 99 * 329
",32571
ALG168,ALG,"Solve for x.
Answer with only the final number.

x + 472 = 264
",-208
ALG169,ALG,"Solve for x.
Answer with only the final number.

x = 294 - 255
",39
ALG170,ALG,"Solve for x.
Answer with only the final number.

x + 414 = 402
",-12
ALG171,ALG,"Solve for x.
Answer with only the final number.

x = 203 + 183
",386
ALG172,ALG,"Solve for x.
Answer with only the final number.

x + 437 = 711
",274
ALG173,ALG,"Solve for x.
Answer with only the final number.

x = 71 * 208
",14768
ALG174,ALG,"Solve for x.
Answer with only the final number.

x + 56 = 855
",799
ALG175,ALG,"Solve for x.
Answer with only the final number.

x = 324 * 105
",34020
ALG176,ALG,"Solve for x.
Answer with only the final number.

x + 345 = 622
",277
ALG177,ALG,"Solve for x.
Answer with only the final number.

x = 487 * 183
",89121
ALG178,ALG,"Solve for x.
Answer with only the final number.

x + 248 = 808
",560
ALG179,ALG,"Solve for x.
Answer with only the final number.

x = 52 + 343
",395
ALG180,ALG,"Solve for x.
Answer with only the final number.

x + 414 = 785
",371
ALG181,ALG,"Solve for x.
Answer with only the final number.

x = 242 - 135
",107
ALG182,ALG,"Solve for x.
Answer with only the final number.

x - 407 = 366
",773
ALG183,ALG,"Solve for x.
Answer with only the final number.

x = 78 + 304
",382
ALG184,ALG,"Solve for x.
Answer with only the final number.

x - 351 = 858
",1209
ALG185,ALG,"Solve for x.
Answer with only the final number.

x = 387 - 118
",269
ALG186,ALG,"Solve for x.
Answer with only the final number.

x - 309 = 780
",1089
ALG187,ALG,"Solve for x.
Answer with only the final number.

x = 436 * 217
",94612
ALG188,ALG,"Solve for x.
Answer with only the final number.

x - 150 = 583
",733
ALG189,ALG,"Solve for x.
Answer with only the final number.

x = 237 * 104
",24648
ALG190,ALG,"Solve for x.
Answer with only the final number.

x + 195 = 457
",262
ALG191,ALG,"Solve for x.
Answer with only the final number.

x = 418 + 269
",687
ALG192,ALG,"Solve for x.
Answer with only the final number.

x - 223 = 730
",953
ALG193,ALG,"Solve for x.
Answer with only the final number.

x = 231 * 246
",56826
ALG194,ALG,"Solve for x.
Answer with only the final number.

x + 146 = 198
",52
ALG195,ALG,"Solve for x.
Answer with only the final number.

x = 411 * 165
",67815
ALG196,ALG,"Solve for x.
Answer with only the final number.

x - 54 = 695
",749
ALG197,ALG,"Solve for x.
Answer with only the final number.

x = 332 + 350
",682
ALG198,ALG,"Solve for x.
Answer with only the final number.

x + 214 = 658
",444
ALG199,ALG,"Solve for x.
Answer with only the final number.

x = 378 * 52
",19656
ALG200,ALG,"Solve for x.
Answer with only the final number.

x + 316 = 556
",240
ALG201,ALG,"Solve for x.
Answer with only the final number.

x = 301 - 169
",132
ALG202,ALG,"Solve for x.
Answer with only the final number.

x + 199 = 436
",237
ALG203,ALG,"Solve for x.
Answer with only the final number.

x = 165 + 341
",506
ALG204,ALG,"Solve for x.
Answer with only the final number.

x - 65 = 554
",619
ALG205,ALG,"Solve for x.
Answer with only the final number.

x = 337 + 426
",763
ALG206,ALG,"Solve for x.
Answer with only the final number.

x + 205 = 877
",672
ALG207,ALG,"Solve for x.
Answer with only the final number.

x = 294 * 302
",88788
ALG208,ALG,"Solve for x.
Answer with only the final number.

x - 423 = 930
",1353
ALG209,ALG,"Solve for x.
Answer with only the final number.

x = 494 - 95
",399
ALG210,ALG,"Solve for x.
Answer with only the final number.

x + 360 = 946
",586
ALG211,ALG,"Solve for x.
Answer with only the final number.

x = 138 + 416
",554
ALG212,ALG,"Solve for x.
Answer with only the final number.

x + 413 = 682
",269
ALG213,ALG,"Solve for x.
Answer with only the final number.

x = 272 * 347
",94384
ALG214,ALG,"Solve for x.
Answer with only the final number.

x + 434 = 494
",60
ALG215,ALG,"Solve for x.
Answer with only the final number.

x = 350 - 58
",292
ALG216,ALG,"Solve for x.
Answer with only the final number.

x + 241 = 868
",627
ALG217,ALG,"Solve for x.
Answer with only the final number.

x = 136 + 170
",306
ALG218,ALG,"Solve for x.
Answer with only the final number.

x + 308 = 804
",496
ALG219,ALG,"Solve for x.
Answer with only the final number.

x = 220 * 318
",69960
ALG220,ALG,"Solve for x.
Answer with only the final number.

x - 338 = 559
",897
ALG221,ALG,"Solve for x.
Answer with only the final number.

x = 321 - 129
",192
ALG222,ALG,"Solve for x.
Answer with only the final number.

x - 301 = 108
",409
ALG223,ALG,"Solve for x.
Answer with only the final number.

x = 336 * 264
",88704
ALG224,ALG,"Solve for x.
Answer with only the final number.

x + 248 = 146
",-102
ALG225,ALG,"Solve for x.
Answer with only the final number.

x = 406 + 480
",886
ALG226,ALG,"Solve for x.
Answer with only the final number.

x + 215 = 917
",702
ALG227,ALG,"Solve for x.
Answer with only the final number.

x = 480 - 307
",173
ALG228,ALG,"Solve for x.
Answer with only the final number.

x + 327 = 205
",-122
ALG229,ALG,"Solve for x.
Answer with only the final number.

x = 289 + 368
",657
ALG230,ALG,"Solve for x.
Answer with only the final number.

x - 353 = 182
",535
ALG231,ALG,"Solve for x.
Answer with only the final number.

x = 214 + 205
",419
ALG232,ALG,"Solve for x.
Answer with only the final number.

x - 461 = 613
",1074
ALG233,ALG,"Solve for x.
Answer with only the final number.

x = 467 - 362
",105
ALG234,ALG,"Solve for x.
Answer with only the final number.

x - 159 = 101
",260
ALG235,ALG,"Solve for x.
Answer with only the final number.

x = 326 - 58
",268
ALG236,ALG,"Solve for x.
Answer with only the final number.

x + 351 = 473
",122
ALG237,ALG,"Solve for x.
Answer with only the final number.

x = 63 * 53
",3339
ALG238,ALG,"Solve for x.
Answer with only the final number.

x - 409 = 866
",1275
ALG239,ALG,"Solve for x.
Answer with only the final number.

x = 330 + 387
",717
ALG240,ALG,"Solve for x.
Answer with only the final number.

x - 213 = 171
",384
ALG241,ALG,"Solve for x.
Answer with only the final number.

x = 254 - 187
",67
ALG242,ALG,"Solve for x.
Answer with only the final number.

x - 435 = 637
",1072
ALG243,ALG,"Solve for x.
Answer with only the final number.

x = 225 * 129
",29025
ALG244,ALG,"Solve for x.
Answer with only the final number.

x + 400 = 380
",-20
ALG245,ALG,"Solve for x.
Answer with only the final number.

x = 315 - 97
",218
ALG246,ALG,"Solve for x.
Answer with only the final number.

x - 104 = 449
",553
ALG247,ALG,"Solve for x.
Answer with only the final number.

x = 242 * 207
",50094
ALG248,ALG,"Solve for x.
Answer with only the final number.

x - 103 = 278
",381
ALG249,ALG,"Solve for x.
Answer with only the final number.

x = 389 - 298
",91
ALG250,ALG,"Solve for x.
Answer with only the final number.

x - 256 = 441
",697
AR001,AR,"Compute the value of the following expression.
Answer with only the final number.

15 - 1
",14
AR002,AR,"Compute the value of the following expression.
Answer with only the final number.

75 + 5
",80
AR003,AR,"Compute the value of the following expression.
Answer with only the final number.

89 * 11
",979
AR004,AR,"Compute the value of the following expression.
Answer with only the final number.

99 + 46
",145
AR005,AR,"Compute the value of the following expression.
Answer with only the final number.

3 + 4
",7
AR006,AR,"Compute the value of the following expression.
Answer with only the final number.

45 + 83
",128
AR007,AR,"Compute the value of the following expression.
Answer with only the final number.

62 * 79
",4898
AR008,AR,"Compute the value of the following expression.
Answer with only the final number.

20 - 12
",8
AR009,AR,"Compute the value of the following expression.
Answer with only the final number.

92 + 15
",107
AR010,AR,"Compute the value of the following expression.
Answer with only the final number.

65 + 63
",128
AR011,AR,"Compute the value of the following expression.
Answer with only the final number.

9 + 86
",95
AR012,AR,"Compute the value of the following expression.
Answer with only the final number.

60 * 9
",540
AR013,AR,"Compute the value of the following expression.
Answer with only the final number.

87 * 12
",1044
AR014,AR,"Compute the value of the following expression.
Answer with only the final number.

75 * 6
",450
AR015,AR,"Compute the value of the following expression.
Answer with only the final number.

72 - 9
",63
AR016,AR,"Compute the value of the following expression.
Answer with only the final number.

39 * 62
",2418
AR017,AR,"Compute the value of the following expression.
Answer with only the final number.

35 - 32
",3
AR018,AR,"Compute the value of the following expression.
Answer with only the final number.

26 * 59
",1534
AR019,AR,"Compute the value of the following expression.
Answer with only the final number.

86 * 3
",258
AR020,AR,"Compute the value of the following expression.
Answer with only the final number.

10 * 1
",10
AR021,AR,"Compute the value of the following expression.
Answer with only the final number.

91 - 19
",72
AR022,AR,"Compute the value of the following expression.
Answer with only the final number.

85 - 49
",36
AR023,AR,"Compute the value of the following expression.
Answer with only the final number.

7 + 10
",17
AR024,AR,"Compute the value of the following expression.
Answer with only the final number.

64 * 21
",1344
AR025,AR,"Compute the value of the following expression.
Answer with only the final number.

72 + 28
",100
AR026,AR,"Compute the value of the following expression.
Answer with only the final number.

4 + 45
",49
AR027,AR,"Compute the value of the following expression.
Answer with only the final number.

68 + 19
",87
AR028,AR,"Compute the value of the following expression.
Answer with only the final number.

40 * 59
",2360
AR029,AR,"Compute the value of the following expression.
Answer with only the final number.

54 + 36
",90
AR030,AR,"Compute the value of the following expression.
Answer with only the final number.

6 * 23
",138
AR031,AR,"Compute the value of the following expression.
Answer with only the final number.

39 - 20
",19
AR032,AR,"Compute the value of the following expression.
Answer with only the final number.

100 + 60
",160
AR033,AR,"Compute the value of the following expression.
Answer with only the final number.

73 + 50
",123
AR034,AR,"Compute the value of the following expression.
Answer with only the final number.

64 - 44
",20
AR035,AR,"Compute the value of the following expression.
Answer with only the final number.

60 * 61
",3660
AR036,AR,"Compute the value of the following expression.
Answer with only the final number.

61 + 77
",138
AR037,AR,"Compute the value of the following expression.
Answer with only the final number.

57 + 94
",151
AR038,AR,"Compute the value of the following expression.
Answer with only the final number.

57 * 38
",2166
AR039,AR,"Compute the value of the following expression.
Answer with only the final number.

100 - 16
",84
AR040,AR,"Compute the value of the following expression.
Answer with only the final number.

54 + 56
",110
AR041,AR,"Compute the value of the following expression.
Answer with only the final number.

68 + 14
",82
AR042,AR,"Compute the value of the following expression.
Answer with only the final number.

85 - 49
",36
AR043,AR,"Compute the value of the following expression.
Answer with only the final number.

83 - 25
",58
AR044,AR,"Compute the value of the following expression.
Answer with only the final number.

90 - 14
",76
AR045,AR,"Compute the value of the following expression.
Answer with only the final number.

21 * 75
",1575
AR046,AR,"Compute the value of the following expression.
Answer with only the final number.

93 - 20
",73
AR047,AR,"Compute the value of the following expression.
Answer with only the final number.

93 - 58
",35
AR048,AR,"Compute the value of the following expression.
Answer with only the final number.

11 + 51
",62
AR049,AR,"Compute the value of the following expression.
Answer with only the final number.

7 + 37
",44
AR050,AR,"Compute the value of the following expression.
Answer with only the final number.

29 + 65
",94
AR051,AR,"Compute the value of the following expression.
Answer with only the final number.

90 + 41
",131
AR052,AR,"Compute the value of the following expression.
Answer with only the final number.

59 - 9
",50
AR053,AR,"Compute the value of the following expression.
Answer with only the final number.

33 * 10
",330
AR054,AR,"Compute the value of the following expression.
Answer with only the final number.

55 * 26
",1430
AR055,AR,"Compute the value of the following expression.
Answer with only the final number.

51 + 25
",76
AR056,AR,"Compute the value of the following expression.
Answer with only the final number.

59 * 65
",3835
AR057,AR,"Compute the value of the following expression.
Answer with only the final number.

47 + 27
",74
AR058,AR,"Compute the value of the following expression.
Answer with only the final number.

90 * 54
",4860
AR059,AR,"Compute the value of the following expression.
Answer with only the final number.

75 + 27
",102
AR060,AR,"Compute the value of the following expression.
Answer with only the final number.

46 - 8
",38
AR061,AR,"Compute the value of the following expression.
Answer with only the final number.

20 * 64
",1280
AR062,AR,"Compute the value of the following expression.
Answer with only the final number.

61 * 43
",2623
AR063,AR,"Compute the value of the following expression.
Answer with only the final number.

17 + 7
",24
AR064,AR,"Compute the value of the following expression.
Answer with only the final number.

22 * 19
",418
AR065,AR,"Compute the value of the following expression.
Answer with only the final number.

9 * 92
",828
AR066,AR,"Compute the value of the following expression.
Answer with only the final number.

22 - 1
",21
AR067,AR,"Compute the value of the following expression.
Answer with only the final number.

87 * 8
",696
AR068,AR,"Compute the value of the following expression.
Answer with only the final number.

12 * 98
",1176
AR069,AR,"Compute the value of the following expression.
Answer with only the final number.

28 + 6
",34
AR070,AR,"Compute the value of the following expression.
Answer with only the final number.

95 - 51
",44
AR071,AR,"Compute the value of the following expression.
Answer with only the final number.

87 - 27
",60
AR072,AR,"Compute the value of the following expression.
Answer with only the final number.

69 - 36
",33
AR073,AR,"Compute the value of the following expression.
Answer with only the final number.

39 * 55
",2145
AR074,AR,"Compute the value of the following expression.
Answer with only the final number.

88 - 74
",14
AR075,AR,"Compute the value of the following expression.
Answer with only the final number.

69 + 12
",81
AR076,AR,"Compute the value of the following expression.
Answer with only the final number.

53 - 36
",17
AR077,AR,"Compute the value of the following expression.
Answer with only the final number.

73 - 36
",37
AR078,AR,"Compute the value of the following expression.
Answer with only the final number.

15 * 90
",1350
AR079,AR,"Compute the value of the following expression.
Answer with only the final number.

36 - 28
",8
AR080,AR,"Compute the value of the following expression.
Answer with only the final number.

92 - 76
",16
AR081,AR,"Compute the value of the following expression.
Answer with only the final number.

45 - 7
",38
AR082,AR,"Compute the value of the following expression.
Answer with only the final number.

100 - 30
",70
AR083,AR,"Compute the value of the following expression.
Answer with only the final number.

49 - 22
",27
AR084,AR,"Compute the value of the following expression.
Answer with only the final number.

47 - 11
",36
AR085,AR,"Compute the value of the following expression.
Answer with only the final number.

212 - 162
",50
AR086,AR,"Compute the value of the following expression.
Answer with only the final number.

441 - 359
",82
AR087,AR,"Compute the value of the following expression.
Answer with only the final number.

215 - 105
",110
AR088,AR,"Compute the value of the following expression.
Answer with only the final number.

254 * 90
",22860
AR089,AR,"Compute the value of the following expression.
Answer with only the final number.

312 - 199
",113
AR090,AR,"Compute the value of the following expression.
Answer with only the final number.

317 * 187
",59279
AR091,AR,"Compute the value of the following expression.
Answer with only the final number.

96 + 275
",371
AR092,AR,"Compute the value of the following expression.
Answer with only the final number.

244 * 421
",102724
AR093,AR,"Compute the value of the following expression.
Answer with only the final number.

252 * 347
",87444
AR094,AR,"Compute the value of the following expression.
Answer with only the final number.

420 + 417
",837
AR095,AR,"Compute the value of the following expression.
Answer with only the final number.

249 * 348
",86652
AR096,AR,"Compute the value of the following expression.
Answer with only the final number.

23 + 197
",220
AR097,AR,"Compute the value of the following expression.
Answer with only the final number.

479 - 43
",436
AR098,AR,"Compute the value of the following expression.
Answer with only the final number.

464 + 473
",937
AR099,AR,"Compute the value of the following expression.
Answer with only the final number.

179 * 188
",33652
AR100,AR,"Compute the value of the following expression.
Answer with only the final number.

358 - 162
",196
AR101,AR,"Compute the value of the following expression.
Answer with only the final number.

308 * 179
",55132
AR102,AR,"Compute the value of the following expression.
Answer with only the final number.

494 * 497
",245518
AR103,AR,"Compute the value of the following expression.
Answer with only the final number.

298 - 109
",189
AR104,AR,"Compute the value of the following expression.
Answer with only the final number.

426 * 393
",167418
AR105,AR,"Compute the value of the following expression.
Answer with only the final number.

283 - 47
",236
AR106,AR,"Compute the value of the following expression.
Answer with only the final number.

318 * 114
",36252
