id,category,route,expected_answer,final_output,correct,latency_wall_median_s
AR88,AR,mixed,412,412,1,2.3340
AR89,AR,mixed,9,9,1,1.7477
AR90,AR,mixed,78,78,1,6.9668
AR91,AR,mixed,276,276,1,1.7365
AR92,AR,mixed,267,267,1,1.7490
AR93,AR,mixed,24,24,1,1.7477
AR94,AR,mixed,1060,1060,1,2.1822
AR95,AR,mixed,632,632,1,8.6062
AR96,AR,mixed,169,169,1,1.7283
AR97,AR,mixed,136,136,1,1.7495
AR98,AR,mixed,866,866,1,2.2693
AR99,AR,mixed,108,108,1,2.3287
AR100,AR,mixed,44,44,1,6.9723
ALG11,ALG,mixed,9,9,1,8.2399
ALG12,ALG,mixed,-18,-18,1,8.9647
ALG13,ALG,mixed,10,10,1,8.5890
ALG14,ALG,mixed,30,30,1,8.0540
ALG15,ALG,mixed,9,9,1,6.9122
ALG16,ALG,mixed,-4,-4,1,8.9278
ALG17,ALG,mixed,-8,-8,1,9.6765
ALG18,ALG,mixed,13,13,1,8.4348
ALG19,ALG,mixed,180,180,1,7.7127
ALG20,ALG,mixed,10,10,1,6.7175
ALG21,ALG,mixed,-16,-16,1,9.3737
ALG22,ALG,mixed,-18,-18,1,10.1030
ALG23,ALG,mixed,2,2,1,9.7285
ALG24,ALG,mixed,32,32,1,7.4885
ALG25,ALG,mixed,-12,-12,1,7.7525
ALG26,ALG,mixed,20,20,1,7.4523
ALG27,ALG,mixed,-19,-19,1,10.0053
ALG28,ALG,mixed,1,1,1,8.2987
ALG29,ALG,mixed,33,33,1,7.6182
ALG30,ALG,mixed,15,15,1,6.8076
ALG31,ALG,mixed,9,9,1,7.5230
ALG32,ALG,mixed,9,9,1,8.2954
ALG33,ALG,mixed,-14,-14,1,9.7599
ALG34,ALG,mixed,-35,-35,1,8.6103
ALG35,ALG,mixed,-3,-3,1,7.5545
ALG36,ALG,mixed,13,13,1,7.6138
ALG37,ALG,mixed,14,14,1,8.0050
ALG38,ALG,mixed,-11,-11,1,9.5455
ALG39,ALG,mixed,-6,-6,1,8.4705
ALG40,ALG,mixed,9,9,1,6.8425
ALG41,ALG,mixed,-9,-9,1,9.9019
ALG42,ALG,mixed,-19,-19,1,8.9165
ALG43,ALG,mixed,-8,-8,1,9.0460
ALG44,ALG,mixed,-91,-91,1,8.6685
ALG45,ALG,mixed,-16,-16,1,7.8162
ALG46,ALG,mixed,4,4,1,7.5773
ALG47,ALG,mixed,-6,-6,1,10.5767
ALG48,ALG,mixed,4,4,1,8.8604
ALG49,ALG,mixed,-128,-128,1,8.6750
ALG50,ALG,mixed,-20,-20,1,7.4935
ALG51,ALG,mixed,15,15,1,7.7709
ALG52,ALG,mixed,-7,-7,1,8.8106
ALG53,ALG,mixed,-26,-26,1,9.3438
ALG54,ALG,mixed,-44,-44,1,8.5601
ALG55,ALG,mixed,8,8,1,6.7597
ALG56,ALG,mixed,-15,-15,1,9.3090
ALG57,ALG,mixed,13,13,1,8.0630
ALG58,ALG,mixed,9,9,1,9.6011
ALG59,ALG,mixed,132,132,1,7.5248
ALG60,ALG,mixed,-13,-13,1,7.6020
ALG61,ALG,mixed,18,18,1,7.8414
ALG62,ALG,mixed,11,11,1,2.8701
ALG63,ALG,mixed,9,9,1,8.5359
ALG64,ALG,mixed,60,60,1,7.4688
ALG65,ALG,mixed,10,10,1,6.8288
ALG66,ALG,mixed,-6,-6,1,8.4958
ALG67,ALG,mixed,9,9,1,7.8644
ALG68,ALG,mixed,8,8,1,9.2262
ALG69,ALG,mixed,-156,-156,1,8.2788
ALG70,ALG,mixed,-16,-16,1,7.6698
ALG71,ALG,mixed,20,20,1,7.5947
ALG72,ALG,mixed,-1,-1,1,7.8233
ALG73,ALG,mixed,-23,-23,1,9.3859
ALG74,ALG,mixed,-108,-108,1,8.5057
ALG75,ALG,mixed,-6,-6,1,7.5905
ALG76,ALG,mixed,-19,-19,1,8.6440
ALG77,ALG,mixed,-11,-11,1,3.4263
ALG78,ALG,mixed,-18,-18,1,9.4031
ALG79,ALG,mixed,-90,-90,1,8.5384
ALG80,ALG,mixed,10,10,1,6.7619
ALG81,ALG,mixed,-18,-18,1,8.9387
ALG82,ALG,mixed,-9,-9,1,8.4474
ALG83,ALG,mixed,-9,-9,1,9.5705
ALG84,ALG,mixed,132,132,1,7.4675
ALG85,ALG,mixed,19,19,1,6.8935
ALG86,ALG,mixed,2,2,1,7.5697
ALG87,ALG,mixed,11,11,1,8.0522
ALG88,ALG,mixed,-19,-19,1,9.3404
ALG89,ALG,mixed,-126,-126,1,8.5106
ALG90,ALG,mixed,4,4,1,6.7987
ALG91,ALG,mixed,-5,-5,1,9.1720
ALG92,ALG,mixed,17,17,1,7.9669
ALG93,ALG,mixed,4,4,1,9.0047
ALG94,ALG,mixed,135,135,1,7.5166
ALG95,ALG,mixed,-18,-18,1,7.8386
ALG96,ALG,mixed,18,18,1,2.7882
ALG97,ALG,mixed,-4,-4,1,8.9268
ALG98,ALG,mixed,-16,-16,1,9.2926
ALG99,ALG,mixed,0,0,1,6.7752
ALG100,ALG,mixed,-10,-10,1,7.5170
LOG11,LOG,mixed,Yes,Yes,1,9.2050
LOG12,LOG,mixed,No,Yes,0,9.0808
LOG13,LOG,mixed,Yes,Yes,1,30.1836
LOG14,LOG,mixed,No,Yes,0,9.0841
LOG15,LOG,mixed,Yes,Yes,1,9.0129
LOG16,LOG,mixed,No,No,1,12.3519
LOG17,LOG,mixed,Yes,No,0,12.1374
LOG18,LOG,mixed,Yes,Yes,1,8.8218
LOG19,LOG,mixed,Yes,Yes,1,9.0559
LOG20,LOG,mixed,Yes,No,0,21.9624
LOG21,LOG,mixed,Yes,Yes,1,12.7176
LOG22,LOG,mixed,No,Yes,0,12.5018
LOG23,LOG,mixed,Yes,Yes,1,29.2299
LOG24,LOG,mixed,No,Yes,0,12.3989
LOG25,LOG,mixed,Yes,Yes,1,12.2367
LOG26,LOG,mixed,No,No,1,12.2791
LOG27,LOG,mixed,Yes,No,0,12.3950
LOG28,LOG,mixed,Yes,Yes,1,11.9212
LOG29,LOG,mixed,Yes,Yes,1,12.3218
LOG30,LOG,mixed,Yes,No,0,25.4801
LOG31,LOG,mixed,Yes,Yes,1,12.2292
LOG32,LOG,mixed,No,Yes,0,12.3882
LOG33,LOG,mixed,Yes,Yes,1,29.1409
LOG34,LOG,mixed,No,Yes,0,12.4078
LOG35,LOG,mixed,Yes,Yes,1,12.1754
LOG36,LOG,mixed,No,No,1,12.2458
LOG37,LOG,mixed,Yes,No,0,12.2019
LOG38,LOG,mixed,Yes,Yes,1,12.3197
LOG39,LOG,mixed,Yes,Yes,1,12.2100
LOG40,LOG,mixed,Yes,No,0,25.2617
LOG41,LOG,mixed,Yes,Yes,1,12.1996
LOG42,LOG,mixed,No,Yes,0,12.3761
LOG43,LOG,mixed,Yes,Yes,1,28.6009
LOG44,LOG,mixed,No,Yes,0,12.4647
LOG45,LOG,mixed,Yes,Yes,1,12.7967
LOG46,LOG,mixed,No,No,1,12.2177
LOG47,LOG,mixed,Yes,No,0,12.1947
LOG48,LOG,mixed,Yes,Yes,1,12.0033
LOG49,LOG,mixed,Yes,Yes,1,12.1531
LOG50,LOG,mixed,Yes,No,0,24.8609
LOG51,LOG,mixed,Yes,Yes,1,12.2235
LOG52,LOG,mixed,No,Yes,0,12.3367
LOG53,LOG,mixed,Yes,Yes,1,28.4534
LOG54,LOG,mixed,No,Yes,0,12.1843
LOG55,LOG,mixed,Yes,Yes,1,12.5947
LOG56,LOG,mixed,No,No,1,12.3736
LOG57,LOG,mixed,Yes,No,0,12.4627
LOG58,LOG,mixed,Yes,Yes,1,12.1857
LOG59,LOG,mixed,Yes,Yes,1,12.2597
LOG60,LOG,mixed,Yes,No,0,25.0055
LOG61,LOG,mixed,Yes,Yes,1,12.1315
LOG62,LOG,mixed,No,Yes,0,12.3121
LOG63,LOG,mixed,Yes,Yes,1,28.7458
LOG64,LOG,mixed,No,Yes,0,12.1136
LOG65,LOG,mixed,Yes,Yes,1,11.9986
LOG66,LOG,mixed,No,No,1,11.9153
LOG67,LOG,mixed,Yes,No,0,12.0918
LOG68,LOG,mixed,Yes,Yes,1,11.8204
LOG69,LOG,mixed,Yes,Yes,1,12.2987
LOG70,LOG,mixed,Yes,No,0,24.8341
LOG71,LOG,mixed,Yes,Yes,1,12.1227
LOG72,LOG,mixed,No,Yes,0,12.1386
LOG73,LOG,mixed,Yes,Yes,1,28.8246
LOG74,LOG,mixed,No,Yes,0,12.1416
LOG75,LOG,mixed,Yes,Yes,1,11.9484
LOG76,LOG,mixed,No,No,1,12.3411
LOG77,LOG,mixed,Yes,No,0,11.9548
LOG78,LOG,mixed,Yes,Yes,1,11.8976
LOG79,LOG,mixed,Yes,Yes,1,11.9030
LOG80,LOG,mixed,Yes,No,0,24.7748
LOG81,LOG,mixed,Yes,Yes,1,12.2648
LOG82,LOG,mixed,No,Yes,0,12.1188
LOG83,LOG,mixed,Yes,Yes,1,28.1533
LOG84,LOG,mixed,No,Yes,0,12.1643
LOG85,LOG,mixed,Yes,Yes,1,11.9606
LOG86,LOG,mixed,No,No,1,11.9120
LOG87,LOG,mixed,Yes,No,0,12.1531
LOG88,LOG,mixed,Yes,Yes,1,11.9116
LOG89,LOG,mixed,Yes,Yes,1,12.0945
LOG90,LOG,mixed,Yes,No,0,24.9923
LOG91,LOG,mixed,Yes,Yes,1,12.1621
LOG92,LOG,mixed,No,Yes,0,12.0388
LOG93,LOG,mixed,Yes,Yes,1,28.6548
LOG94,LOG,mixed,No,Yes,0,12.0749
LOG95,LOG,mixed,Yes,Yes,1,11.9469
LOG96,LOG,mixed,No,No,1,11.9643
LOG97,LOG,mixed,Yes,No,0,12.2151
LOG98,LOG,mixed,Yes,Yes,1,11.6862
LOG99,LOG,mixed,Yes,Yes,1,11.9577
LOG100,LOG,mixed,Yes,No,0,24.7022
WP11,WP,mixed,182,182,1,8.5500
WP12,WP,mixed,150,150,1,8.4293
WP13,WP,mixed,130,130,1,8.9418
WP14,WP,mixed,25,25,1,10.5654
WP15,WP,mixed,6,6,1,10.1616
WP16,WP,mixed,35,35,1,9.7964
WP17,WP,mixed,16,16,1,9.6989
WP18,WP,mixed,75,75,1,10.7165
WP19,WP,mixed,168,168,1,9.7380
WP20,WP,mixed,35,35,1,9.6945
WP21,WP,mixed,110,110,1,8.7508
WP22,WP,mixed,360,360,1,8.5580
WP23,WP,mixed,18,18,1,8.9943
WP24,WP,mixed,60,60,1,10.8446
WP25,WP,mixed,5,5,1,10.3432
WP26,WP,mixed,40,40,1,10.3330
WP27,WP,mixed,2,2,1,9.5371
WP28,WP,mixed,180,180,1,10.3437
WP29,WP,mixed,187,187,1,9.9235
WP30,WP,mixed,35,35,1,2.2490
WP31,WP,mixed,120,120,1,8.8060
WP32,WP,mixed,88,88,1,8.7013
WP33,WP,mixed,20,20,1,8.9215
WP34,WP,mixed,90,90,1,9.7226
WP35,WP,mixed,4,4,1,10.3556
WP36,WP,mixed,22,22,1,10.0852
WP37,WP,mixed,12,12,1,9.8013
WP38,WP,mixed,30,30,1,10.3213
WP39,WP,mixed,72,72,1,9.6424
WP40,WP,mixed,41,41,1,12.0482
WP41,WP,mixed,255,255,1,8.6259
WP42,WP,mixed,352,352,1,8.4549
WP43,WP,mixed,48,48,1,9.0950
WP44,WP,mixed,75,75,1,10.7749
WP45,WP,mixed,1,1,1,10.3692
WP46,WP,mixed,22,22,1,1.7178
WP47,WP,mixed,6,6,1,9.6422
WP48,WP,mixed,35,35,1,8.9770
WP49,WP,mixed,189,189,1,9.5767
WP50,WP,mixed,88,88,1,11.9007
WP51,WP,mixed,39,39,1,8.7342
WP52,WP,mixed,567,567,1,9.2488
WP53,WP,mixed,10,10,1,8.8406
WP54,WP,mixed,36,36,1,10.6564
WP55,WP,mixed,1,1,1,10.4510
WP56,WP,mixed,88,88,1,10.1198
WP57,WP,mixed,3,3,1,9.9136
WP58,WP,mixed,45,45,1,10.5270
WP59,WP,mixed,160,160,1,9.7577
WP60,WP,mixed,70,70,1,12.1517
WP61,WP,mixed,126,126,1,8.6101
WP62,WP,mixed,98,98,1,8.6871
WP63,WP,mixed,131,131,1,9.1359
WP64,WP,mixed,45,45,1,11.0364
WP65,WP,mixed,3,3,1,10.5320
WP66,WP,mixed,40,40,1,10.1800
WP67,WP,mixed,4,4,1,9.6435
WP68,WP,mixed,36,36,1,10.4299
WP69,WP,mixed,120,120,1,9.7672
WP70,WP,mixed,93,93,1,12.2984
WP71,WP,mixed,170,170,1,8.7921
WP72,WP,mixed,448,448,1,8.6698
WP73,WP,mixed,95,95,1,9.0615
WP74,WP,mixed,25,25,1,11.0203
WP75,WP,mixed,1,1,1,10.3472
WP76,WP,mixed,63,63,1,10.1869
WP77,WP,mixed,9,9,1,9.6251
WP78,WP,mixed,45,45,1,10.3334
WP79,WP,mixed,195,195,1,9.7421
WP80,WP,mixed,5,5,1,12.2345
WP81,WP,mixed,44,44,1,8.6334
WP82,WP,mixed,336,336,1,8.7669
WP83,WP,mixed,38,38,1,8.9702
WP84,WP,mixed,40,40,1,10.9187
WP85,WP,mixed,6,6,1,8.8981
WP86,WP,mixed,12,12,1,9.9433
WP87,WP,mixed,9,9,1,9.8723
WP88,WP,mixed,60,90,0,10.8587
WP89,WP,mixed,91,91,1,8.0125
WP90,WP,mixed,41,41,1,12.2886
WP91,WP,mixed,48,48,1,8.6839
WP92,WP,mixed,96,96,1,8.6076
WP93,WP,mixed,7,7,1,9.2567
WP94,WP,mixed,120,120,1,10.8361
WP95,WP,mixed,2,2,1,10.4755
WP96,WP,mixed,32,32,1,10.1907
WP97,WP,mixed,2,2,1,9.9673
WP98,WP,mixed,108,108,1,10.4514
WP99,WP,mixed,68,68,1,9.9459
WP100,WP,mixed,85,85,1,12.1884
