id,category,variant,expected_answer,final_output,correct,latency_wall_median_s,latency_compute_median_s
T3_0078,AR,phi2_server_grammar,23,23,1,1.3569,1.3499
T3_0086,AR,phi2_server_grammar,14641,14641,1,1.8060,1.7999
T3_0052,AR,phi2_server_grammar,330,550,0,1.3636,1.3498
T3_0231,AR,phi2_server_grammar,648,572,0,1.8057,1.7989
T3_0229,AR,phi2_server_grammar,8645,8555,0,1.8100,1.7983
T3_0071,AR,phi2_server_grammar,12,12,1,1.3580,1.3527
T3_0236,AR,phi2_server_grammar,1060,1060,1,1.8044,1.7999
T3_0180,AR,phi2_server_grammar,55,55,1,1.3525,1.3482
T3_0221,AR,phi2_server_grammar,95,95,1,1.3563,1.3517
T3_0248,AR,phi2_server_grammar,25,25,1,1.3539,1.3496
T3_0159,AR,phi2_server_grammar,180,180,1,1.3621,1.3519
T3_0216,AR,phi2_server_grammar,180,240,0,1.3584,1.3483
T3_0227,AR,phi2_server_grammar,810,846,0,1.8059,1.8015
T3_0177,AR,phi2_server_grammar,649,657,0,1.8113,1.8062
T3_0190,AR,phi2_server_grammar,301,539,0,1.8097,1.8053
T3_0065,AR,phi2_server_grammar,32,32,1,1.3540,1.3495
T3_0209,AR,phi2_server_grammar,474,456,0,1.8043,1.7999
T3_0067,AR,phi2_server_grammar,4134,4134,1,1.8070,1.7987
T3_0068,AR,phi2_server_grammar,228,312,0,1.3575,1.3515
T3_0069,AR,phi2_server_grammar,276,408,0,1.3524,1.3479
T3_0219,AR,phi2_server_grammar,20,56,0,1.3583,1.3517
T3_0071,AR,phi2_server_grammar,12,12,1,1.3584,1.3502
T3_0225,AR,phi2_server_grammar,665,721,0,1.8122,1.8078
T3_0113,AR,phi2_server_grammar,8,8,1,1.3532,1.3487
T3_0222,AR,phi2_server_grammar,108,756,0,1.8078,1.8016
T3_0177,AR,phi2_server_grammar,649,657,0,1.8125,1.7981
T3_0216,AR,phi2_server_grammar,180,240,0,1.3546,1.3473
T3_0113,AR,phi2_server_grammar,8,8,1,1.3501,1.3456
T3_0078,AR,phi2_server_grammar,23,23,1,1.3508,1.3464
T3_0159,AR,phi2_server_grammar,180,180,1,1.3568,1.3491
T3_0080,AR,phi2_server_grammar,10000,10000,1,1.3980,1.3935
T3_0180,AR,phi2_server_grammar,55,55,1,1.4067,1.4021
T3_0192,AR,phi2_server_grammar,324,4,0,1.4081,1.4032
T3_0209,AR,phi2_server_grammar,474,456,0,1.8803,1.8726
T3_0199,AR,phi2_server_grammar,152,160,0,1.4118,1.4054
T3_0244,AR,phi2_server_grammar,657,567,0,1.8777,1.8711
T3_0086,AR,phi2_server_grammar,14641,14641,1,1.8799,1.8753
T3_0087,AR,phi2_server_grammar,225,1125,0,1.8781,1.8735
T3_0242,AR,phi2_server_grammar,216,216,1,1.4161,1.4047
T3_0172,AR,phi2_server_grammar,1264,992,0,1.8833,1.8722
T3_0090,AR,phi2_server_grammar,78,78,1,1.4017,1.3971
T3_0169,AR,phi2_server_grammar,412,438,0,1.8737,1.8690
T3_0174,AR,phi2_server_grammar,10,10,1,1.4067,1.4009
T3_0093,AR,phi2_server_grammar,18,-54,0,1.8744,1.8699
T3_0231,AR,phi2_server_grammar,648,572,0,1.8838,1.8748
T3_0192,AR,phi2_server_grammar,324,4,0,1.4112,1.4047
T3_0228,AR,phi2_server_grammar,97,-115,0,1.8791,1.8739
T3_0221,AR,phi2_server_grammar,95,95,1,1.4033,1.3988
T3_0236,AR,phi2_server_grammar,1060,1060,1,1.8775,1.8725
T3_0249,AR,phi2_server_grammar,-224,-28,0,1.8742,1.8695
T3_0199,AR,phi2_server_grammar,152,160,0,1.4048,1.4002
T3_0161,AR,phi2_server_grammar,108,108,1,1.4081,1.4036
T3_0159,AR,phi2_server_grammar,180,180,1,1.4051,1.4007
T3_0172,AR,phi2_server_grammar,1264,992,0,1.8782,1.8720
T3_0192,AR,phi2_server_grammar,324,4,0,1.4061,1.4016
T3_0237,AR,phi2_server_grammar,9,9,1,1.4119,1.4024
T3_0134,AR,phi2_server_grammar,-100,-36,0,1.8774,1.8720
T3_0250,AR,phi2_server_grammar,99,99,1,1.4118,1.4067
T3_0169,AR,phi2_server_grammar,412,438,0,1.8741,1.8693
T3_0205,AR,phi2_server_grammar,281,287,0,1.4196,1.4106
T3_0222,AR,phi2_server_grammar,108,756,0,1.8816,1.8726
T3_0201,AR,phi2_server_grammar,44,44,1,1.4082,1.4037
T3_0212,AR,phi2_server_grammar,729,729,1,1.8838,1.8724
T3_0113,AR,phi2_server_grammar,8,8,1,1.4097,1.4047
T3_0114,AR,phi2_server_grammar,25,25,1,1.4047,1.4001
T3_0122,AR,phi2_server_grammar,696,896,0,1.8805,1.8718
T3_0241,AR,phi2_server_grammar,32,-28,0,1.8879,1.8722
T3_0172,AR,phi2_server_grammar,1264,992,0,1.8827,1.8703
T3_0219,AR,phi2_server_grammar,20,56,0,1.4050,1.4003
T3_0233,AR,phi2_server_grammar,922,998,0,1.8861,1.8725
T3_0214,AR,phi2_server_grammar,28,28,1,1.4069,1.4013
T3_0239,AR,phi2_server_grammar,267,255,0,1.4078,1.4015
T3_0122,AR,phi2_server_grammar,696,896,0,1.8765,1.8704
T3_0233,AR,phi2_server_grammar,922,998,0,1.8784,1.8680
T3_0243,AR,phi2_server_grammar,1817,1767,0,1.8820,1.8751
T3_0146,AR,phi2_server_grammar,980,980,1,1.4095,1.4049
T3_0126,AR,phi2_server_grammar,1116,918,0,1.8798,1.8749
T3_0174,AR,phi2_server_grammar,10,10,1,1.4053,1.4004
T3_0180,AR,phi2_server_grammar,55,55,1,1.4058,1.4001
T3_0129,AR,phi2_server_grammar,8,8,1,1.4051,1.3986
T3_0229,AR,phi2_server_grammar,8645,8555,0,1.8869,1.8700
T3_0144,AR,phi2_server_grammar,499,441,0,1.8816,1.8767
T3_0249,AR,phi2_server_grammar,-224,-28,0,1.8780,1.8733
T3_0137,AR,phi2_server_grammar,169,169,1,1.4165,1.4005
T3_0134,AR,phi2_server_grammar,-100,-36,0,1.8737,1.8686
T3_0221,AR,phi2_server_grammar,95,95,1,1.4143,1.4090
T3_0229,AR,phi2_server_grammar,8645,8555,0,1.8731,1.8678
T3_0137,AR,phi2_server_grammar,169,169,1,1.4092,1.4044
T3_0140,AR,phi2_server_grammar,404,364,0,1.4132,1.4036
T3_0232,AR,phi2_server_grammar,912,882,0,1.8823,1.8772
T3_0140,AR,phi2_server_grammar,404,364,0,1.4337,1.4224
T3_0241,AR,phi2_server_grammar,32,-28,0,1.8893,1.8847
T3_0209,AR,phi2_server_grammar,474,456,0,1.8746,1.8699
T3_0250,AR,phi2_server_grammar,99,99,1,1.4137,1.4092
T3_0144,AR,phi2_server_grammar,499,441,0,1.8754,1.8709
T3_0145,AR,phi2_server_grammar,100,100,1,1.4124,1.4080
T3_0146,AR,phi2_server_grammar,980,980,1,1.4141,1.4013
T3_0147,AR,phi2_server_grammar,227,443,0,3.2830,3.2764
T3_0235,AR,phi2_server_grammar,136,136,1,1.4188,1.4008
T3_0149,AR,phi2_server_grammar,225,225,1,1.4111,1.4066
T3_0208,AR,phi2_server_grammar,931,589,0,1.8753,1.8708
T3_0196,AR,phi2_server_grammar,130,130,1,1.4052,1.4006
T3_0190,AR,phi2_server_grammar,301,539,0,1.8742,1.8698
T3_0199,AR,phi2_server_grammar,152,160,0,1.4111,1.4060
T3_0169,AR,phi2_server_grammar,412,438,0,1.8733,1.8688
T3_0232,AR,phi2_server_grammar,912,882,0,1.8801,1.8756
T3_0204,AR,phi2_server_grammar,280,560,0,1.4071,1.4027
T3_0219,AR,phi2_server_grammar,20,56,0,1.4055,1.4011
T3_0158,AR,phi2_server_grammar,98,108,0,1.4276,1.4225
T3_0159,AR,phi2_server_grammar,180,180,1,1.4110,1.4064
T3_0204,AR,phi2_server_grammar,280,560,0,1.4093,1.4031
T3_0161,AR,phi2_server_grammar,108,108,1,1.4090,1.4043
T3_0230,AR,phi2_server_grammar,233,167,0,1.4072,1.4020
T3_0163,AR,phi2_server_grammar,19,19,1,1.4036,1.3991
T3_0227,AR,phi2_server_grammar,810,846,0,1.8736,1.8686
T3_0165,AR,phi2_server_grammar,266,266,1,1.4056,1.3991
T3_0169,AR,phi2_server_grammar,412,438,0,1.8779,1.8671
T3_0183,AR,phi2_server_grammar,24,24,1,1.4062,1.4018
T3_0208,AR,phi2_server_grammar,931,589,0,1.8756,1.8711
T3_0169,AR,phi2_server_grammar,412,438,0,1.8798,1.8747
T3_0221,AR,phi2_server_grammar,95,95,1,1.4206,1.4029
T3_0235,AR,phi2_server_grammar,136,136,1,1.4134,1.4069
T3_0172,AR,phi2_server_grammar,1264,992,0,1.8737,1.8690
T3_0222,AR,phi2_server_grammar,108,756,0,1.8914,1.8727
T3_0174,AR,phi2_server_grammar,10,10,1,1.4079,1.4032
T3_0175,AR,phi2_server_grammar,5040,5040,1,1.8752,1.8684
T3_0208,AR,phi2_server_grammar,931,589,0,1.8817,1.8688
T3_0177,AR,phi2_server_grammar,649,657,0,1.8758,1.8679
T3_0178,AR,phi2_server_grammar,14641,14641,1,1.8751,1.8694
T3_0199,AR,phi2_server_grammar,152,160,0,1.4075,1.4016
T3_0180,AR,phi2_server_grammar,55,55,1,1.4119,1.4073
T3_0203,AR,phi2_server_grammar,408,408,1,1.4035,1.3987
T3_0183,AR,phi2_server_grammar,24,24,1,1.4043,1.3995
T3_0183,AR,phi2_server_grammar,24,24,1,1.4045,1.3996
T3_0229,AR,phi2_server_grammar,8645,8555,0,1.9115,1.9067
T3_0193,AR,phi2_server_grammar,1064,656,0,1.8762,1.8715
T3_0220,AR,phi2_server_grammar,866,933,0,1.8755,1.8710
T3_0187,AR,phi2_server_grammar,10,10,1,1.4095,1.4048
T3_0193,AR,phi2_server_grammar,1064,656,0,1.8804,1.8754
T3_0189,AR,phi2_server_grammar,4524,4446,0,1.8766,1.8680
T3_0190,AR,phi2_server_grammar,301,539,0,1.8755,1.8706
T3_0191,AR,phi2_server_grammar,31,31,1,1.4139,1.4023
T3_0192,AR,phi2_server_grammar,324,4,0,1.4099,1.4033
T3_0193,AR,phi2_server_grammar,1064,656,0,1.8739,1.8691
T3_0231,AR,phi2_server_grammar,648,572,0,1.8788,1.8717
T3_0238,AR,phi2_server_grammar,14641,14641,1,1.8783,1.8697
T3_0196,AR,phi2_server_grammar,130,130,1,1.4106,1.4009
T3_0244,AR,phi2_server_grammar,657,567,0,1.8722,1.8674
T3_0220,AR,phi2_server_grammar,866,933,0,1.8748,1.8699
T3_0199,AR,phi2_server_grammar,152,160,0,1.4181,1.4011
T3_0234,AR,phi2_server_grammar,146,146,1,1.4137,1.4089
T3_0201,AR,phi2_server_grammar,44,44,1,1.4062,1.4013
T3_0230,AR,phi2_server_grammar,233,167,0,1.4106,1.4034
T3_0203,AR,phi2_server_grammar,408,408,1,1.4063,1.4014
T3_0204,AR,phi2_server_grammar,280,560,0,1.4156,1.4044
T3_0205,AR,phi2_server_grammar,281,287,0,1.4157,1.4103
T3_0218,AR,phi2_server_grammar,17,17,1,1.4253,1.4208
T3_0207,AR,phi2_server_grammar,784,784,1,1.8732,1.8685
T3_0208,AR,phi2_server_grammar,931,589,0,1.8766,1.8720
T3_0209,AR,phi2_server_grammar,474,456,0,1.8846,1.8732
T3_0240,AR,phi2_server_grammar,41,41,1,1.4124,1.4079
T3_0213,AR,phi2_server_grammar,1113,665,0,1.8792,1.8745
T3_0212,AR,phi2_server_grammar,729,729,1,1.8759,1.8706
T3_0213,AR,phi2_server_grammar,1113,665,0,1.8766,1.8718
T3_0214,AR,phi2_server_grammar,28,28,1,1.4081,1.4036
T3_0216,AR,phi2_server_grammar,180,240,0,1.4057,1.4010
T3_0216,AR,phi2_server_grammar,180,240,0,1.4055,1.4009
T3_0236,AR,phi2_server_grammar,1060,1060,1,1.8727,1.8678
T3_0218,AR,phi2_server_grammar,17,17,1,1.4034,1.3989
T3_0219,AR,phi2_server_grammar,20,56,0,1.4074,1.4028
T3_0220,AR,phi2_server_grammar,866,933,0,1.8804,1.8758
T3_0221,AR,phi2_server_grammar,95,95,1,1.4088,1.4003
T3_0222,AR,phi2_server_grammar,108,756,0,1.8755,1.8679
T3_0224,AR,phi2_server_grammar,90,90,1,1.4087,1.4032
T3_0224,AR,phi2_server_grammar,90,90,1,1.4046,1.4001
T3_0225,AR,phi2_server_grammar,665,721,0,1.8790,1.8742
T3_0226,AR,phi2_server_grammar,408,846,0,1.8734,1.8688
T3_0227,AR,phi2_server_grammar,810,846,0,1.8736,1.8688
T3_0228,AR,phi2_server_grammar,97,-115,0,1.8793,1.8746
T3_0229,AR,phi2_server_grammar,8645,8555,0,1.8707,1.8643
T3_0230,AR,phi2_server_grammar,233,167,0,1.4088,1.4041
T3_0231,AR,phi2_server_grammar,648,572,0,1.8839,1.8697
T3_0232,AR,phi2_server_grammar,912,882,0,1.8888,1.8842
T3_0233,AR,phi2_server_grammar,922,998,0,1.8861,1.8756
T3_0234,AR,phi2_server_grammar,146,146,1,1.4125,1.4079
T3_0235,AR,phi2_server_grammar,136,136,1,1.4118,1.4039
T3_0236,AR,phi2_server_grammar,1060,1060,1,1.8811,1.8743
T3_0237,AR,phi2_server_grammar,9,9,1,1.4107,1.4059
T3_0238,AR,phi2_server_grammar,14641,14641,1,1.8790,1.8707
T3_0239,AR,phi2_server_grammar,267,255,0,1.4122,1.4010
T3_0240,AR,phi2_server_grammar,41,41,1,1.4103,1.4015
T3_0241,AR,phi2_server_grammar,32,-28,0,1.8752,1.8706
T3_0242,AR,phi2_server_grammar,216,216,1,1.4128,1.4003
T3_0243,AR,phi2_server_grammar,1817,1767,0,1.8858,1.8779
T3_0244,AR,phi2_server_grammar,657,567,0,1.8795,1.8747
T3_0245,AR,phi2_server_grammar,204,306,0,1.4122,1.4076
T3_0246,AR,phi2_server_grammar,384,768,0,1.4067,1.4021
T3_0247,AR,phi2_server_grammar,675,707,0,1.8889,1.8787
T3_0248,AR,phi2_server_grammar,25,25,1,1.4082,1.4036
T3_0249,AR,phi2_server_grammar,-224,-28,0,1.8801,1.8732
T3_0250,AR,phi2_server_grammar,99,99,1,1.4146,1.4099
T3_0417,ALG,phi2_server_grammar,7,8,0,2.3429,2.3383
T3_0447,ALG,phi2_server_grammar,-91,-91,1,2.8236,2.8187
T3_0253,ALG,phi2_server_grammar,4,4,1,2.3484,2.3414
T3_0257,ALG,phi2_server_grammar,-19,-21,0,2.8187,2.8124
T3_0483,ALG,phi2_server_grammar,20,20,1,2.3539,2.3491
T3_0264,ALG,phi2_server_grammar,15,10,0,2.3605,2.3425
T3_0257,ALG,phi2_server_grammar,-19,-21,0,2.8141,2.8095
T3_0258,ALG,phi2_server_grammar,33,33,1,2.3468,2.3423
T3_0461,ALG,phi2_server_grammar,7,7,1,2.3523,2.3475
T3_0476,ALG,phi2_server_grammar,16,16,1,2.3495,2.3407
T3_0471,ALG,phi2_server_grammar,-5,-5,1,2.8132,2.8086
T3_0262,ALG,phi2_server_grammar,-18,-20,0,2.8117,2.8071
T3_0365,ALG,phi2_server_grammar,5,5,1,2.3440,2.3381
T3_0264,ALG,phi2_server_grammar,15,10,0,2.3507,2.3458
T3_0417,ALG,phi2_server_grammar,7,8,0,2.3425,2.3379
T3_0480,ALG,phi2_server_grammar,2,2,1,2.3484,2.3436
T3_0462,ALG,phi2_server_grammar,-8,12,0,2.3509,2.3460
T3_0476,ALG,phi2_server_grammar,16,16,1,2.3504,2.3451
T3_0366,ALG,phi2_server_grammar,-6,-6,1,2.8104,2.8059
T3_0394,ALG,phi2_server_grammar,9,9,1,2.3511,2.3464
T3_0459,ALG,phi2_server_grammar,13,13,1,2.3648,2.3598
T3_0495,ALG,phi2_server_grammar,2,2,1,2.3487,2.3440
T3_0453,ALG,phi2_server_grammar,9,72,0,2.3497,2.3451
T3_0412,ALG,phi2_server_grammar,1,24,0,2.3501,2.3453
T3_0479,ALG,phi2_server_grammar,-16,-6,0,2.8166,2.8114
T3_0486,ALG,phi2_server_grammar,-8,-3,0,2.8203,2.8157
T3_0277,ALG,phi2_server_grammar,4,-8,0,2.8204,2.8159
T3_0279,ALG,phi2_server_grammar,-108,-108,1,2.8092,2.8046
T3_0279,ALG,phi2_server_grammar,-108,-108,1,2.8154,2.8107
T3_0282,ALG,phi2_server_grammar,18,18,1,2.3564,2.3517
T3_0494,ALG,phi2_server_grammar,9,6,0,2.3494,2.3447
T3_0282,ALG,phi2_server_grammar,18,18,1,2.3485,2.3407
T3_0500,ALG,phi2_server_grammar,-26,-28,0,2.8137,2.8091
T3_0348,ALG,phi2_server_grammar,-12,-6,0,2.8142,2.8094
T3_0409,ALG,phi2_server_grammar,10,10,1,2.3422,2.3373
T3_0409,ALG,phi2_server_grammar,10,10,1,2.3432,2.3383
T3_0433,ALG,phi2_server_grammar,19,17,0,2.3468,2.3411
T3_0485,ALG,phi2_server_grammar,-15,-16,0,2.8069,2.8021
T3_0497,ALG,phi2_server_grammar,4,4,1,2.3435,2.3386
T3_0472,ALG,phi2_server_grammar,8,8,1,2.3452,2.3403
T3_0500,ALG,phi2_server_grammar,-26,-28,0,2.8132,2.8072
T3_0313,ALG,phi2_server_grammar,-13,-6,0,2.8176,2.8128
T3_0342,ALG,phi2_server_grammar,135,135,1,2.3531,2.3483
T3_0455,ALG,phi2_server_grammar,2,2,1,2.3478,2.3425
T3_0372,ALG,phi2_server_grammar,11,11,1,2.3445,2.3398
T3_0427,ALG,phi2_server_grammar,132,132,1,2.3417,2.3370
T3_0399,ALG,phi2_server_grammar,-9,-11,0,2.8166,2.8121
T3_0409,ALG,phi2_server_grammar,10,10,1,2.3478,2.3428
T3_0365,ALG,phi2_server_grammar,5,5,1,2.3415,2.3366
T3_0374,ALG,phi2_server_grammar,-7,-7,1,2.8119,2.8072
T3_0342,ALG,phi2_server_grammar,135,135,1,2.3645,2.3588
T3_0447,ALG,phi2_server_grammar,-91,-91,1,2.8135,2.8084
T3_0496,ALG,phi2_server_grammar,30,30,1,2.3437,2.3390
T3_0494,ALG,phi2_server_grammar,9,6,0,2.3495,2.3445
T3_0348,ALG,phi2_server_grammar,-12,-6,0,2.8132,2.8083
T3_0348,ALG,phi2_server_grammar,-12,-6,0,2.8141,2.8087
T3_0411,ALG,phi2_server_grammar,-156,-156,1,2.8167,2.8120
T3_0308,ALG,phi2_server_grammar,9,-19,0,2.8290,2.8226
T3_0435,ALG,phi2_server_grammar,13,36,0,2.3480,2.3431
T3_0472,ALG,phi2_server_grammar,8,8,1,2.3478,2.3426
T3_0368,ALG,phi2_server_grammar,32,32,1,2.3478,2.3431
T3_0459,ALG,phi2_server_grammar,13,13,1,2.3485,2.3399
T3_0313,ALG,phi2_server_grammar,-13,-6,0,2.8169,2.8121
T3_0494,ALG,phi2_server_grammar,9,6,0,2.3448,2.3402
T3_0476,ALG,phi2_server_grammar,16,16,1,2.3498,2.3438
T3_0469,ALG,phi2_server_grammar,13,5,0,2.3428,2.3379
T3_0483,ALG,phi2_server_grammar,20,20,1,2.3438,2.3391
T3_0409,ALG,phi2_server_grammar,10,10,1,2.3436,2.3386
T3_0455,ALG,phi2_server_grammar,2,2,1,2.3455,2.3388
T3_0427,ALG,phi2_server_grammar,132,132,1,2.3457,2.3409
T3_0479,ALG,phi2_server_grammar,-16,-6,0,2.8172,2.8127
T3_0474,ALG,phi2_server_grammar,7,7,1,2.3376,2.3326
T3_0456,ALG,phi2_server_grammar,-18,-18,1,2.8151,2.8104
T3_0403,ALG,phi2_server_grammar,-4,-4,1,2.8166,2.8119
T3_0394,ALG,phi2_server_grammar,9,9,1,2.3502,2.3455
T3_0333,ALG,phi2_server_grammar,-18,-18,1,2.8150,2.8104
T3_0500,ALG,phi2_server_grammar,-26,-28,0,2.8109,2.8062
T3_0453,ALG,phi2_server_grammar,9,72,0,2.3583,2.3538
T3_0361,ALG,phi2_server_grammar,11,11,1,2.3465,2.3417
T3_0412,ALG,phi2_server_grammar,1,24,0,2.3480,2.3432
T3_0374,ALG,phi2_server_grammar,-7,-7,1,2.8123,2.8074
T3_0365,ALG,phi2_server_grammar,5,5,1,2.3476,2.3430
T3_0333,ALG,phi2_server_grammar,-18,-18,1,2.8117,2.8068
T3_0334,ALG,phi2_server_grammar,-128,-128,1,2.8099,2.8052
T3_0461,ALG,phi2_server_grammar,7,7,1,2.3440,2.3392
T3_0336,ALG,phi2_server_grammar,-20,-10,0,2.8154,2.8107
T3_0466,ALG,phi2_server_grammar,-35,-35,1,2.8172,2.8125
T3_0406,ALG,phi2_server_grammar,132,132,1,2.3528,2.3368
T3_0443,ALG,phi2_server_grammar,14,14,1,2.3442,2.3395
T3_0472,ALG,phi2_server_grammar,8,8,1,2.3450,2.3399
T3_0341,ALG,phi2_server_grammar,4,6,0,2.3516,2.3469
T3_0342,ALG,phi2_server_grammar,135,135,1,2.3409,2.3359
T3_0499,ALG,phi2_server_grammar,-1,0,0,2.3525,2.3478
T3_0433,ALG,phi2_server_grammar,19,17,0,2.3550,2.3498
T3_0446,ALG,phi2_server_grammar,17,16,0,2.3496,2.3446
T3_0453,ALG,phi2_server_grammar,9,72,0,2.3489,2.3404
T3_0478,ALG,phi2_server_grammar,10,10,1,2.3494,2.3447
T3_0348,ALG,phi2_server_grammar,-12,-6,0,2.8133,2.8086
T3_0349,ALG,phi2_server_grammar,-11,-11,1,2.8165,2.8115
T3_0412,ALG,phi2_server_grammar,1,24,0,2.3480,2.3429
T3_0365,ALG,phi2_server_grammar,5,5,1,2.3604,2.3532
