id,category,trial,time_s,pred,expected,err,raw
LOG003,LOG,3,1.635147,Yes,Yes,E0, Yes
LOG004,LOG,1,1.689301,No,No,E0, No
LOG004,LOG,2,1.597127,No,No,E0, No
LOG004,LOG,3,1.601561,No,No,E0, No
LOG005,LOG,1,1.826249,Yes,Yes,E0, Yes
LOG005,LOG,2,1.692334,Yes,Yes,E0, Yes
LOG005,LOG,3,1.762685,Yes,Yes,E0, Yes
LOG006,LOG,1,2.814605,Yes,No,E2, Yes
LOG006,LOG,2,2.536449,Yes,No,E2, Yes
LOG006,LOG,3,2.637244,Yes,No,E2, Yes
LOG007,LOG,1,1.856490,No,No,E0, No
LOG007,LOG,2,1.724701,No,No,E0, No
LOG007,LOG,3,2.305215,No,No,E0, No
LOG008,LOG,1,4.116743,Yes,Yes,E0, Yes
LOG008,LOG,2,3.982115,Yes,Yes,E0, Yes
LOG008,LOG,3,3.903426,Yes,Yes,E0, Yes
LOG009,LOG,1,2.611320,Yes,Yes,E0, Yes
LOG009,LOG,2,1.741326,Yes,Yes,E0, Yes
LOG009,LOG,3,2.743638,Yes,Yes,E0, Yes
LOG010,LOG,1,2.671831,No,Yes,E2, No
LOG010,LOG,2,2.513974,No,Yes,E2, No
LOG010,LOG,3,2.542475,No,Yes,E2, No
WP001,WP,1,4.921490,15,16,E5, 15
WP001,WP,2,4.663116,15,16,E5, 15
WP001,WP,3,4.654255,15,16,E5, 15
WP002,WP,1,5.328527,0,21,E5, 0
WP002,WP,2,4.942002,0,21,E5, 0
WP002,WP,3,3.491123,0,21,E5, 0
WP003,WP,1,7.979699,02520505050,7,E5, 02520505050
WP003,WP,2,10.583914,02520505050,7,E5, 02520505050
WP003,WP,3,12.167906,02520505050,7,E5, 02520505050
WP004,WP,1,11.675776,55,184,E5, 55
WP004,WP,2,2.672455,55,184,E5, 55
WP004,WP,3,2.748534,55,184,E5, 55
WP005,WP,1,2.727631,6,6,E0, 6
WP005,WP,2,2.659281,6,6,E0, 6
WP005,WP,3,3.102068,6,6,E0, 6
WP006,WP,1,6.459732,2508,2400,E5, 2508
WP006,WP,2,6.562900,2508,2400,E5, 2508
WP006,WP,3,5.104909,2508,2400,E5, 2508
WP007,WP,1,2.667624,62,14,E5, 62
WP007,WP,2,2.826799,62,14,E5, 62
WP007,WP,3,2.675843,62,14,E5, 62
WP008,WP,1,2.927953,9,10,E5, 9
WP008,WP,2,2.816814,9,10,E5, 9
WP008,WP,3,2.477239,9,10,E5, 9
WP009,WP,1,7.316306,4,4,E0, 4
WP009,WP,2,2.422268,4,4,E0, 4
WP009,WP,3,2.351825,4,4,E0, 4
WP010,WP,1,3.347945,180,540,E5, 180
WP010,WP,2,3.329787,180,540,E5, 180
WP010,WP,3,3.408995,180,540,E5, 180
