id,category,variant,trial,status,latency_wall_s,latency_compute_s,expected_answer,final_output,correct,log_file
T3_0034,AR,phi2_server_grammar,3,ok,1.7998,1.7954,2744,2744,1,outputs/logs/t3_phi2_server_grammar_r3_20251227_192032/T3_0034__phi2_server_grammar__r3.json
T3_0232,AR,phi2_server_grammar,1,ok,5.3065,5.2902,912,882,0,outputs/logs/t3_phi2_server_grammar_r3_20251227_192032/T3_0232__phi2_server_grammar__r1.json
T3_0232,AR,phi2_server_grammar,2,ok,1.8124,1.8077,912,882,0,outputs/logs/t3_phi2_server_grammar_r3_20251227_192032/T3_0232__phi2_server_grammar__r2.json
T3_0232,AR,phi2_server_grammar,3,ok,1.8036,1.7988,912,882,0,outputs/logs/t3_phi2_server_grammar_r3_20251227_192032/T3_0232__phi2_server_grammar__r3.json
T3_0114,AR,phi2_server_grammar,1,ok,1.3682,1.3507,25,25,1,outputs/logs/t3_phi2_server_grammar_r3_20251227_192032/T3_0114__phi2_server_grammar__r1.json
T3_0114,AR,phi2_server_grammar,2,ok,1.3548,1.3503,25,25,1,outputs/logs/t3_phi2_server_grammar_r3_20251227_192032/T3_0114__phi2_server_grammar__r2.json
T3_0114,AR,phi2_server_grammar,3,ok,1.3522,1.3477,25,25,1,outputs/logs/t3_phi2_server_grammar_r3_20251227_192032/T3_0114__phi2_server_grammar__r3.json
T3_0024,AR,phi2_server_grammar,1,ok,1.8158,1.7999,613,613,1,outputs/logs/t3_phi2_server_grammar_r3_20251227_192032/T3_0024__phi2_server_grammar__r1.json
T3_0024,AR,phi2_server_grammar,2,ok,1.7986,1.7941,613,613,1,outputs/logs/t3_phi2_server_grammar_r3_20251227_192032/T3_0024__phi2_server_grammar__r2.json
T3_0024,AR,phi2_server_grammar,3,ok,1.8025,1.7980,613,613,1,outputs/logs/t3_phi2_server_grammar_r3_20251227_192032/T3_0024__phi2_server_grammar__r3.json
T3_0147,AR,phi2_server_grammar,1,ok,3.1646,3.1480,227,443,0,outputs/logs/t3_phi2_server_grammar_r3_20251227_192032/T3_0147__phi2_server_grammar__r1.json
T3_0147,AR,phi2_server_grammar,2,ok,3.1530,3.1486,227,443,0,outputs/logs/t3_phi2_server_grammar_r3_20251227_192032/T3_0147__phi2_server_grammar__r2.json
T3_0147,AR,phi2_server_grammar,3,ok,3.1492,3.1448,227,443,0,outputs/logs/t3_phi2_server_grammar_r3_20251227_192032/T3_0147__phi2_server_grammar__r3.json
T3_0233,AR,phi2_server_grammar,1,ok,1.8235,1.8059,922,998,0,outputs/logs/t3_phi2_server_grammar_r3_20251227_192032/T3_0233__phi2_server_grammar__r1.json
T3_0233,AR,phi2_server_grammar,2,ok,1.8025,1.7980,922,998,0,outputs/logs/t3_phi2_server_grammar_r3_20251227_192032/T3_0233__phi2_server_grammar__r2.json
T3_0233,AR,phi2_server_grammar,3,ok,1.8072,1.8028,922,998,0,outputs/logs/t3_phi2_server_grammar_r3_20251227_192032/T3_0233__phi2_server_grammar__r3.json
T3_0113,AR,phi2_server_grammar,1,ok,4.1774,4.1604,8,8,1,outputs/logs/t3_phi2_server_grammar_r3_20251227_192032/T3_0113__phi2_server_grammar__r1.json
T3_0113,AR,phi2_server_grammar,2,ok,1.3516,1.3472,8,8,1,outputs/logs/t3_phi2_server_grammar_r3_20251227_192032/T3_0113__phi2_server_grammar__r2.json
T3_0113,AR,phi2_server_grammar,3,ok,1.3542,1.3497,8,8,1,outputs/logs/t3_phi2_server_grammar_r3_20251227_192032/T3_0113__phi2_server_grammar__r3.json
T3_0193,AR,phi2_server_grammar,1,ok,5.3092,5.2920,1064,656,0,outputs/logs/t3_phi2_server_grammar_r3_20251227_192032/T3_0193__phi2_server_grammar__r1.json
T3_0193,AR,phi2_server_grammar,2,ok,1.8081,1.8037,1064,656,0,outputs/logs/t3_phi2_server_grammar_r3_20251227_192032/T3_0193__phi2_server_grammar__r2.json
T3_0193,AR,phi2_server_grammar,3,ok,1.8123,1.8078,1064,656,0,outputs/logs/t3_phi2_server_grammar_r3_20251227_192032/T3_0193__phi2_server_grammar__r3.json
T3_0231,AR,phi2_server_grammar,1,ok,1.8176,1.7994,648,572,0,outputs/logs/t3_phi2_server_grammar_r3_20251227_192032/T3_0231__phi2_server_grammar__r1.json
T3_0231,AR,phi2_server_grammar,2,ok,1.8043,1.7997,648,572,0,outputs/logs/t3_phi2_server_grammar_r3_20251227_192032/T3_0231__phi2_server_grammar__r2.json
T3_0231,AR,phi2_server_grammar,3,ok,1.8064,1.8019,648,572,0,outputs/logs/t3_phi2_server_grammar_r3_20251227_192032/T3_0231__phi2_server_grammar__r3.json
T3_0024,AR,phi2_server_grammar,1,ok,1.8113,1.7946,613,613,1,outputs/logs/t3_phi2_server_grammar_r3_20251227_192032/T3_0024__phi2_server_grammar__r1.json
T3_0024,AR,phi2_server_grammar,2,ok,1.8013,1.7969,613,613,1,outputs/logs/t3_phi2_server_grammar_r3_20251227_192032/T3_0024__phi2_server_grammar__r2.json
T3_0024,AR,phi2_server_grammar,3,ok,1.8006,1.7958,613,613,1,outputs/logs/t3_phi2_server_grammar_r3_20251227_192032/T3_0024__phi2_server_grammar__r3.json
T3_0134,AR,phi2_server_grammar,1,ok,1.8179,1.8019,-100,-36,0,outputs/logs/t3_phi2_server_grammar_r3_20251227_192032/T3_0134__phi2_server_grammar__r1.json
T3_0134,AR,phi2_server_grammar,2,ok,1.8093,1.8048,-100,-36,0,outputs/logs/t3_phi2_server_grammar_r3_20251227_192032/T3_0134__phi2_server_grammar__r2.json
T3_0134,AR,phi2_server_grammar,3,ok,1.8050,1.8006,-100,-36,0,outputs/logs/t3_phi2_server_grammar_r3_20251227_192032/T3_0134__phi2_server_grammar__r3.json
T3_0238,AR,phi2_server_grammar,1,ok,1.8220,1.8058,14641,14641,1,outputs/logs/t3_phi2_server_grammar_r3_20251227_192032/T3_0238__phi2_server_grammar__r1.json
T3_0238,AR,phi2_server_grammar,2,ok,1.8000,1.7956,14641,14641,1,outputs/logs/t3_phi2_server_grammar_r3_20251227_192032/T3_0238__phi2_server_grammar__r2.json
T3_0238,AR,phi2_server_grammar,3,ok,1.8072,1.8028,14641,14641,1,outputs/logs/t3_phi2_server_grammar_r3_20251227_192032/T3_0238__phi2_server_grammar__r3.json
T3_0239,AR,phi2_server_grammar,1,ok,1.3659,1.3502,267,255,0,outputs/logs/t3_phi2_server_grammar_r3_20251227_192032/T3_0239__phi2_server_grammar__r1.json
T3_0239,AR,phi2_server_grammar,2,ok,1.3591,1.3547,267,255,0,outputs/logs/t3_phi2_server_grammar_r3_20251227_192032/T3_0239__phi2_server_grammar__r2.json
T3_0239,AR,phi2_server_grammar,3,ok,1.3602,1.3556,267,255,0,outputs/logs/t3_phi2_server_grammar_r3_20251227_192032/T3_0239__phi2_server_grammar__r3.json
T3_0243,AR,phi2_server_grammar,1,ok,1.8140,1.7981,1817,1767,0,outputs/logs/t3_phi2_server_grammar_r3_20251227_192032/T3_0243__phi2_server_grammar__r1.json
T3_0243,AR,phi2_server_grammar,2,ok,1.8030,1.7986,1817,1767,0,outputs/logs/t3_phi2_server_grammar_r3_20251227_192032/T3_0243__phi2_server_grammar__r2.json
T3_0243,AR,phi2_server_grammar,3,ok,1.8037,1.7993,1817,1767,0,outputs/logs/t3_phi2_server_grammar_r3_20251227_192032/T3_0243__phi2_server_grammar__r3.json
T3_0090,AR,phi2_server_grammar,1,ok,4.1896,4.1739,78,78,1,outputs/logs/t3_phi2_server_grammar_r3_20251227_192032/T3_0090__phi2_server_grammar__r1.json
T3_0090,AR,phi2_server_grammar,2,ok,1.3509,1.3465,78,78,1,outputs/logs/t3_phi2_server_grammar_r3_20251227_192032/T3_0090__phi2_server_grammar__r2.json
T3_0090,AR,phi2_server_grammar,3,ok,1.3560,1.3515,78,78,1,outputs/logs/t3_phi2_server_grammar_r3_20251227_192032/T3_0090__phi2_server_grammar__r3.json
T3_0234,AR,phi2_server_grammar,1,ok,1.3612,1.3454,146,146,1,outputs/logs/t3_phi2_server_grammar_r3_20251227_192032/T3_0234__phi2_server_grammar__r1.json
T3_0234,AR,phi2_server_grammar,2,ok,1.3517,1.3467,146,146,1,outputs/logs/t3_phi2_server_grammar_r3_20251227_192032/T3_0234__phi2_server_grammar__r2.json
T3_0234,AR,phi2_server_grammar,3,ok,1.3543,1.3493,146,146,1,outputs/logs/t3_phi2_server_grammar_r3_20251227_192032/T3_0234__phi2_server_grammar__r3.json
T3_0031,AR,phi2_server_grammar,1,ok,1.3707,1.3490,504,504,1,outputs/logs/t3_phi2_server_grammar_r3_20251227_192032/T3_0031__phi2_server_grammar__r1.json
T3_0031,AR,phi2_server_grammar,2,ok,1.3525,1.3472,504,504,1,outputs/logs/t3_phi2_server_grammar_r3_20251227_192032/T3_0031__phi2_server_grammar__r2.json
T3_0031,AR,phi2_server_grammar,3,ok,1.3580,1.3536,504,504,1,outputs/logs/t3_phi2_server_grammar_r3_20251227_192032/T3_0031__phi2_server_grammar__r3.json
T3_0250,AR,phi2_server_grammar,1,ok,4.1932,4.1769,99,99,1,outputs/logs/t3_phi2_server_grammar_r3_20251227_192032/T3_0250__phi2_server_grammar__r1.json
T3_0250,AR,phi2_server_grammar,2,ok,1.3578,1.3533,99,99,1,outputs/logs/t3_phi2_server_grammar_r3_20251227_192032/T3_0250__phi2_server_grammar__r2.json
T3_0250,AR,phi2_server_grammar,3,ok,1.3632,1.3587,99,99,1,outputs/logs/t3_phi2_server_grammar_r3_20251227_192032/T3_0250__phi2_server_grammar__r3.json
T3_0247,AR,phi2_server_grammar,1,ok,1.8208,1.7980,675,707,0,outputs/logs/t3_phi2_server_grammar_r3_20251227_192032/T3_0247__phi2_server_grammar__r1.json
T3_0247,AR,phi2_server_grammar,2,ok,1.8049,1.7999,675,707,0,outputs/logs/t3_phi2_server_grammar_r3_20251227_192032/T3_0247__phi2_server_grammar__r2.json
T3_0247,AR,phi2_server_grammar,3,ok,1.8080,1.8036,675,707,0,outputs/logs/t3_phi2_server_grammar_r3_20251227_192032/T3_0247__phi2_server_grammar__r3.json
T3_0034,AR,phi2_server_grammar,1,ok,1.8185,1.8013,2744,2744,1,outputs/logs/t3_phi2_server_grammar_r3_20251227_192032/T3_0034__phi2_server_grammar__r1.json
T3_0034,AR,phi2_server_grammar,2,ok,1.8011,1.7968,2744,2744,1,outputs/logs/t3_phi2_server_grammar_r3_20251227_192032/T3_0034__phi2_server_grammar__r2.json
T3_0034,AR,phi2_server_grammar,3,ok,1.8042,1.7998,2744,2744,1,outputs/logs/t3_phi2_server_grammar_r3_20251227_192032/T3_0034__phi2_server_grammar__r3.json
T3_0080,AR,phi2_server_grammar,1,ok,1.3645,1.3492,10000,10000,1,outputs/logs/t3_phi2_server_grammar_r3_20251227_192032/T3_0080__phi2_server_grammar__r1.json
T3_0080,AR,phi2_server_grammar,2,ok,1.3614,1.3569,10000,10000,1,outputs/logs/t3_phi2_server_grammar_r3_20251227_192032/T3_0080__phi2_server_grammar__r2.json
T3_0080,AR,phi2_server_grammar,3,ok,1.3635,1.3589,10000,10000,1,outputs/logs/t3_phi2_server_grammar_r3_20251227_192032/T3_0080__phi2_server_grammar__r3.json
T3_0203,AR,phi2_server_grammar,1,ok,1.3736,1.3575,408,408,1,outputs/logs/t3_phi2_server_grammar_r3_20251227_192032/T3_0203__phi2_server_grammar__r1.json
T3_0203,AR,phi2_server_grammar,2,ok,1.3508,1.3449,408,408,1,outputs/logs/t3_phi2_server_grammar_r3_20251227_192032/T3_0203__phi2_server_grammar__r2.json
T3_0203,AR,phi2_server_grammar,3,ok,1.3532,1.3488,408,408,1,outputs/logs/t3_phi2_server_grammar_r3_20251227_192032/T3_0203__phi2_server_grammar__r3.json
T3_0220,AR,phi2_server_grammar,1,ok,1.8173,1.8010,866,933,0,outputs/logs/t3_phi2_server_grammar_r3_20251227_192032/T3_0220__phi2_server_grammar__r1.json
T3_0220,AR,phi2_server_grammar,2,ok,1.8028,1.7983,866,933,0,outputs/logs/t3_phi2_server_grammar_r3_20251227_192032/T3_0220__phi2_server_grammar__r2.json
T3_0220,AR,phi2_server_grammar,3,ok,1.8151,1.8106,866,933,0,outputs/logs/t3_phi2_server_grammar_r3_20251227_192032/T3_0220__phi2_server_grammar__r3.json
T3_0199,AR,phi2_server_grammar,1,ok,1.3724,1.3542,152,160,0,outputs/logs/t3_phi2_server_grammar_r3_20251227_192032/T3_0199__phi2_server_grammar__r1.json
T3_0199,AR,phi2_server_grammar,2,ok,1.3565,1.3521,152,160,0,outputs/logs/t3_phi2_server_grammar_r3_20251227_192032/T3_0199__phi2_server_grammar__r2.json
T3_0199,AR,phi2_server_grammar,3,ok,1.3579,1.3535,152,160,0,outputs/logs/t3_phi2_server_grammar_r3_20251227_192032/T3_0199__phi2_server_grammar__r3.json
T3_0090,AR,phi2_server_grammar,1,ok,1.3687,1.3522,78,78,1,outputs/logs/t3_phi2_server_grammar_r3_20251227_192032/T3_0090__phi2_server_grammar__r1.json
T3_0090,AR,phi2_server_grammar,2,ok,1.3537,1.3493,78,78,1,outputs/logs/t3_phi2_server_grammar_r3_20251227_192032/T3_0090__phi2_server_grammar__r2.json
T3_0090,AR,phi2_server_grammar,3,ok,1.3517,1.3472,78,78,1,outputs/logs/t3_phi2_server_grammar_r3_20251227_192032/T3_0090__phi2_server_grammar__r3.json
T3_0232,AR,phi2_server_grammar,1,ok,5.3144,5.2982,912,882,0,outputs/logs/t3_phi2_server_grammar_r3_20251227_192032/T3_0232__phi2_server_grammar__r1.json
T3_0232,AR,phi2_server_grammar,2,ok,1.8052,1.8007,912,882,0,outputs/logs/t3_phi2_server_grammar_r3_20251227_192032/T3_0232__phi2_server_grammar__r2.json
T3_0232,AR,phi2_server_grammar,3,ok,1.8027,1.7982,912,882,0,outputs/logs/t3_phi2_server_grammar_r3_20251227_192032/T3_0232__phi2_server_grammar__r3.json
T3_0175,AR,phi2_server_grammar,1,ok,1.8174,1.8001,5040,5040,1,outputs/logs/t3_phi2_server_grammar_r3_20251227_192032/T3_0175__phi2_server_grammar__r1.json
T3_0175,AR,phi2_server_grammar,2,ok,1.7999,1.7954,5040,5040,1,outputs/logs/t3_phi2_server_grammar_r3_20251227_192032/T3_0175__phi2_server_grammar__r2.json
T3_0175,AR,phi2_server_grammar,3,ok,1.8002,1.7958,5040,5040,1,outputs/logs/t3_phi2_server_grammar_r3_20251227_192032/T3_0175__phi2_server_grammar__r3.json
T3_0080,AR,phi2_server_grammar,1,ok,1.3783,1.3629,10000,10000,1,outputs/logs/t3_phi2_server_grammar_r3_20251227_192032/T3_0080__phi2_server_grammar__r1.json
T3_0080,AR,phi2_server_grammar,2,ok,1.3565,1.3520,10000,10000,1,outputs/logs/t3_phi2_server_grammar_r3_20251227_192032/T3_0080__phi2_server_grammar__r2.json
T3_0080,AR,phi2_server_grammar,3,ok,1.3512,1.3468,10000,10000,1,outputs/logs/t3_phi2_server_grammar_r3_20251227_192032/T3_0080__phi2_server_grammar__r3.json
T3_0196,AR,phi2_server_grammar,1,ok,4.1921,4.1758,130,130,1,outputs/logs/t3_phi2_server_grammar_r3_20251227_192032/T3_0196__phi2_server_grammar__r1.json
T3_0196,AR,phi2_server_grammar,2,ok,1.3566,1.3522,130,130,1,outputs/logs/t3_phi2_server_grammar_r3_20251227_192032/T3_0196__phi2_server_grammar__r2.json
T3_0196,AR,phi2_server_grammar,3,ok,1.3532,1.3487,130,130,1,outputs/logs/t3_phi2_server_grammar_r3_20251227_192032/T3_0196__phi2_server_grammar__r3.json
T3_0233,AR,phi2_server_grammar,1,ok,1.8169,1.8003,922,998,0,outputs/logs/t3_phi2_server_grammar_r3_20251227_192032/T3_0233__phi2_server_grammar__r1.json
T3_0233,AR,phi2_server_grammar,2,ok,1.8039,1.7994,922,998,0,outputs/logs/t3_phi2_server_grammar_r3_20251227_192032/T3_0233__phi2_server_grammar__r2.json
T3_0233,AR,phi2_server_grammar,3,ok,1.8070,1.8026,922,998,0,outputs/logs/t3_phi2_server_grammar_r3_20251227_192032/T3_0233__phi2_server_grammar__r3.json
T3_0220,AR,phi2_server_grammar,1,ok,1.8211,1.8032,866,933,0,outputs/logs/t3_phi2_server_grammar_r3_20251227_192032/T3_0220__phi2_server_grammar__r1.json
T3_0220,AR,phi2_server_grammar,2,ok,1.8046,1.8002,866,933,0,outputs/logs/t3_phi2_server_grammar_r3_20251227_192032/T3_0220__phi2_server_grammar__r2.json
T3_0220,AR,phi2_server_grammar,3,ok,1.8108,1.8062,866,933,0,outputs/logs/t3_phi2_server_grammar_r3_20251227_192032/T3_0220__phi2_server_grammar__r3.json
T3_0175,AR,phi2_server_grammar,1,ok,1.8131,1.7965,5040,5040,1,outputs/logs/t3_phi2_server_grammar_r3_20251227_192032/T3_0175__phi2_server_grammar__r1.json
T3_0175,AR,phi2_server_grammar,2,ok,1.8039,1.7995,5040,5040,1,outputs/logs/t3_phi2_server_grammar_r3_20251227_192032/T3_0175__phi2_server_grammar__r2.json
T3_0175,AR,phi2_server_grammar,3,ok,1.8016,1.7971,5040,5040,1,outputs/logs/t3_phi2_server_grammar_r3_20251227_192032/T3_0175__phi2_server_grammar__r3.json
T3_0189,AR,phi2_server_grammar,1,ok,1.8128,1.7974,4524,4446,0,outputs/logs/t3_phi2_server_grammar_r3_20251227_192032/T3_0189__phi2_server_grammar__r1.json
T3_0189,AR,phi2_server_grammar,2,ok,1.8081,1.8037,4524,4446,0,outputs/logs/t3_phi2_server_grammar_r3_20251227_192032/T3_0189__phi2_server_grammar__r2.json
T3_0189,AR,phi2_server_grammar,3,ok,1.8014,1.7970,4524,4446,0,outputs/logs/t3_phi2_server_grammar_r3_20251227_192032/T3_0189__phi2_server_grammar__r3.json
T3_0147,AR,phi2_server_grammar,1,ok,3.1668,3.1498,227,443,0,outputs/logs/t3_phi2_server_grammar_r3_20251227_192032/T3_0147__phi2_server_grammar__r1.json
T3_0147,AR,phi2_server_grammar,2,ok,3.1766,3.1716,227,443,0,outputs/logs/t3_phi2_server_grammar_r3_20251227_192032/T3_0147__phi2_server_grammar__r2.json
T3_0147,AR,phi2_server_grammar,3,ok,3.1569,3.1524,227,443,0,outputs/logs/t3_phi2_server_grammar_r3_20251227_192032/T3_0147__phi2_server_grammar__r3.json
T3_0159,AR,phi2_server_grammar,1,ok,4.1843,4.1661,180,180,1,outputs/logs/t3_phi2_server_grammar_r3_20251227_192032/T3_0159__phi2_server_grammar__r1.json
T3_0159,AR,phi2_server_grammar,2,ok,1.3579,1.3533,180,180,1,outputs/logs/t3_phi2_server_grammar_r3_20251227_192032/T3_0159__phi2_server_grammar__r2.json
T3_0159,AR,phi2_server_grammar,3,ok,1.3545,1.3500,180,180,1,outputs/logs/t3_phi2_server_grammar_r3_20251227_192032/T3_0159__phi2_server_grammar__r3.json
T3_0078,AR,phi2_server_grammar,1,ok,1.3626,1.3469,23,23,1,outputs/logs/t3_phi2_server_grammar_r3_20251227_192032/T3_0078__phi2_server_grammar__r1.json
T3_0078,AR,phi2_server_grammar,2,ok,1.3569,1.3524,23,23,1,outputs/logs/t3_phi2_server_grammar_r3_20251227_192032/T3_0078__phi2_server_grammar__r2.json
T3_0078,AR,phi2_server_grammar,3,ok,1.3549,1.3499,23,23,1,outputs/logs/t3_phi2_server_grammar_r3_20251227_192032/T3_0078__phi2_server_grammar__r3.json
T3_0086,AR,phi2_server_grammar,1,ok,1.8154,1.7999,14641,14641,1,outputs/logs/t3_phi2_server_grammar_r3_20251227_192032/T3_0086__phi2_server_grammar__r1.json
